code,name,price,color,category,image_count,mainImage
"S939-PINK","핑크 플로럴 코르셋 크롭탑","81000","핑크","TOP","11","assets/aug11/S939-PINK/S939-PINK_01.png"
"S939-BLACK","블랙 플로럴 코르셋 크롭탑","81000","블랙","TOP","12","assets/aug11/S939-BLACK/S939-BLACK_01.png"
"S940-WHITE","화이트 브이넥 퍼프 크롭 블라우스","81000","화이트","TOP","10","assets/aug11/S940-WHITE/S940-WHITE_01.png"
"S940-YELLOW","옐로우 브이넥 퍼프 크롭 블라우스","81000","옐로우","TOP","7","assets/aug11/S940-YELLOW/S940-YELLOW_01.png"
"S941-PINK","핑크 러플 리본 버튼 블라우스","81000","핑크","TOP","10","assets/aug11/S941-PINK/S941-PINK_01.png"
"S941-RED","와인 레드 러플 리본 버튼 블라우스","81000","와인 레드","TOP","8","assets/aug11/S941-RED/S941-RED_01.png"
"S942","아이보리 로즈러플 시스루 뷔스티에탑","81000","아이보리","TOP","11","assets/aug11/S942/S942_01.png"
"S943-BLACK","블랙 하트넥 코르셋 뷔스티에탑","72000","블랙","TOP","8","assets/aug11/S943-BLACK/S943-BLACK_01.png"
"S943-GRAY","그레이 하트넥 코르셋 뷔스티에탑","72000","그레이","TOP","10","assets/aug11/S943-GRAY/S943-GRAY_01.png"
"S944-BLACK","블랙 슬림핏 테일러드 자켓","129000","블랙","JACKET","8","assets/aug11/S944-BLACK/S944-BLACK_01.jpg"
"S944-WHITE","화이트 슬림핏 테일러드 자켓","129000","화이트","JACKET","10","assets/aug11/S944-WHITE/S944-WHITE_01.jpg"
"S945-WHITE","화이트 새틴 셔링 랩 미디스커트","104000","화이트","SKIRT","9","assets/aug11/S945-WHITE/S945-WHITE_01.png"
"S945-PINK","핑크 새틴 셔링 랩 미디스커트","104000","핑크","SKIRT","5","assets/aug11/S945-PINK/S945-PINK_01.png"
"S945-SORA","소라 새틴 셔링 랩 미디스커트","104000","소라","SKIRT","5","assets/aug11/S945-SORA/S945-SORA_01.jpg"
"S945-BLACK","블랙 새틴 셔링 랩 미디스커트","104000","블랙","SKIRT","5","assets/aug11/S945-BLACK/S945-BLACK_01.png"
"S946-IVORY","아이보리 플라워 자수 미니스커트","63000","아이보리","SKIRT","11","assets/aug11/S946-IVORY/S946-IVORY_01.png"
"S946-PINK","핑크 플라워 자수 미니스커트","63000","핑크","SKIRT","8","assets/aug11/S946-PINK/S946-PINK_01.png"
"S946-SORA","소라 플라워 자수 미니스커트","63000","소라","SKIRT","6","assets/aug11/S946-SORA/S946-SORA_01.png"
