code,name,field,before,after
P035,엘린 니트캉캉 미니 투피스,fabric,상: 니트  하:폴리혼방,상: 니트 하:폴리혼방
JINA-S917,아이보리 프릴라인 미디원피스,fabric,폴리혼방(같은디자인다른컬러5917),폴리혼방
JINA-S917,아이보리 프릴라인 미디원피스,wearTables[0].소재,폴리혼방(같은디자인다른컬러5917),폴리혼방
JINA-S918,블랙 프릴라인 미디원피스,fabric,폴리혼방(같은디자인다른컬러5917),폴리혼방
JINA-S918,블랙 프릴라인 미디원피스,wearTables[0].소재,폴리혼방(같은디자인다른컬러5917),폴리혼방
TIA-S931,리본 플레어 미니원피스,fabric,폴리혼방(같은디자인다큰컬러5932),폴리혼방
TIA-S931,리본 플레어 미니원피스,wearTables[0].소재,폴리혼방(같은디자인다큰컬러5932),폴리혼방
TIA-S932,리본 플레어 미니원피스,fabric,폴리혼방(같은디자인다큰컬러5932),폴리혼방
TIA-S932,리본 플레어 미니원피스,wearTables[0].소재,폴리혼방(같은디자인다큰컬러5932),폴리혼방
TIA-S933,리본 플레어 미니원피스,fabric,폴리혼방(같은디자인다큰컬러5932),폴리혼방
TIA-S933,리본 플레어 미니원피스,wearTables[0].소재,폴리혼방(같은디자인다큰컬러5932),폴리혼방
TIA-S934,리본 플레어 미니원피스,fabric,폴리혼방(같은디자인다큰컬러5932),폴리혼방
TIA-S934,리본 플레어 미니원피스,wearTables[0].소재,폴리혼방(같은디자인다큰컬러5932),폴리혼방
