code,name,removed_count,removed_examples
GRA-S888,블랙 체인홀터 미디원피스,3,productInfoTableMatched | internalProductInfoSource | cuts:제품정보/assets/aug_info/info_001_GRA-S890_GRA-S889_GRA-S888.png
GRA-S889,레드 체인홀터 미디원피스,3,productInfoTableMatched | internalProductInfoSource | cuts:제품정보/assets/aug_info/info_001_GRA-S890_GRA-S889_GRA-S888.png
GRA-S890,아이보리 체인홀터 미디원피스,3,productInfoTableMatched | internalProductInfoSource | cuts:제품정보/assets/aug_info/info_001_GRA-S890_GRA-S889_GRA-S888.png
SEY-S907,아이보리 배색라인 플레어 원피스,3,productInfoTableMatched | internalProductInfoSource | cuts:제품정보/assets/aug_info/info_010_SEY-S907_SEY-S908.png
SEY-S908,블랙 배색라인 플레어 원피스,3,productInfoTableMatched | internalProductInfoSource | cuts:제품정보/assets/aug_info/info_010_SEY-S907_SEY-S908.png
SEY-S909,핑크 오프숄더 러플 원피스,3,productInfoTableMatched | internalProductInfoSource | cuts:제품정보/assets/aug_info/info_011_SEY-S909_SEY-S910.png
SEY-S910,블랙 오프숄더 러플 원피스,3,productInfoTableMatched | internalProductInfoSource | cuts:제품정보/assets/aug_info/info_011_SEY-S909_SEY-S910.png
JINA-S878,핑크 브이넥 홀터 원피스,3,productInfoTableMatched | internalProductInfoSource | cuts:제품정보/assets/aug_info/info_004_JINA-S878_JINA-S879.png
JINA-S879,블랙 브이넥 홀터 원피스,3,productInfoTableMatched | internalProductInfoSource | cuts:제품정보/assets/aug_info/info_004_JINA-S878_JINA-S879.png
JINA-S917,아이보리 프릴라인 미디원피스,3,productInfoTableMatched | internalProductInfoSource | cuts:제품정보/assets/aug_info/info_005_JINA-S917_JINA-S918.png
JINA-S918,블랙 프릴라인 미디원피스,3,productInfoTableMatched | internalProductInfoSource | cuts:제품정보/assets/aug_info/info_005_JINA-S917_JINA-S918.png
JINA-S919,아이보리 원숄더 드레이프 원피스,3,productInfoTableMatched | internalProductInfoSource | cuts:제품정보/assets/aug_info/info_006_JINA-S919_JINA-S920.png
JINA-S920,핑크 원숄더 드레이프 원피스,3,productInfoTableMatched | internalProductInfoSource | cuts:제품정보/assets/aug_info/info_006_JINA-S919_JINA-S920.png
TIA-S856,핀턱 나시탑,5,productInfoImage | productInfoImages | productInfoMatched | internalProductInfoSource | cuts:제품정보/assets/aug_info/info_012_TIA-S857.png
TIA-S857,플라워 매듭 나시탑,3,productInfoTableMatched | internalProductInfoSource | cuts:제품정보/assets/aug_info/info_012_TIA-S857.png
TIA-S858,아이보리 시퀸 쉬폰 나시 블라우스,3,productInfoTableMatched | internalProductInfoSource | cuts:제품정보/assets/aug_info/info_013_TIA-S858.png
TIA-S860,블랙 프릴 쉬폰 벨트 미니원피스,3,productInfoTableMatched | internalProductInfoSource | cuts:제품정보/assets/aug_info/info_014_TIA-S860.png
TIA-S862,아이보리 레이스 홀터 쉬폰 미니원피스,3,productInfoTableMatched | internalProductInfoSource | cuts:제품정보/assets/aug_info/info_015_TIA-S863_TIA-S862.png
TIA-S863,블랙 레이스 홀터 쉬폰 미니원피스,3,productInfoTableMatched | internalProductInfoSource | cuts:제품정보/assets/aug_info/info_015_TIA-S863_TIA-S862.png
TIA-S864,화이트 레이스 크롭 투피스,3,productInfoTableMatched | internalProductInfoSource | cuts:제품정보/assets/aug_info/info_016_TIA-S865_TIA-S864.png
TIA-S865,블랙 레이스 크롭 투피스,3,productInfoTableMatched | internalProductInfoSource | cuts:제품정보/assets/aug_info/info_016_TIA-S865_TIA-S864.png
TIA-S866,아이보리 플라워 코르셋 투피스,3,productInfoTableMatched | internalProductInfoSource | cuts:제품정보/assets/aug_info/info_017_TIA-S866.png
TIA-S870,아이보리 트위드 버튼 미니원피스,3,productInfoTableMatched | internalProductInfoSource | cuts:제품정보/assets/aug_info/info_018_TIA-S870_TIA-S871.png
TIA-S871,민트 트위드 버튼 미니원피스,3,productInfoTableMatched | internalProductInfoSource | cuts:제품정보/assets/aug_info/info_018_TIA-S870_TIA-S871.png
TIA-S873,아이보리 트위드 홀터 투피스,3,productInfoTableMatched | internalProductInfoSource | cuts:제품정보/assets/aug_info/info_019_TIA-S873.png
TIA-S891,베이지 드레이프 오프숄더 미니원피스,3,productInfoTableMatched | internalProductInfoSource | cuts:제품정보/assets/aug_info/info_020_TIA-S891.png
TIA-S892,아이보리 진주라인 트위드 미니원피스,3,productInfoTableMatched | internalProductInfoSource | cuts:제품정보/assets/aug_info/info_021_TIA-S892_TIA-S893.png
TIA-S893,핑크 진주라인 트위드 미니원피스,3,productInfoTableMatched | internalProductInfoSource | cuts:제품정보/assets/aug_info/info_021_TIA-S892_TIA-S893.png
TIA-S894,아이보리 블랙리본 플리츠 롱드레스,3,productInfoTableMatched | internalProductInfoSource | cuts:제품정보/assets/aug_info/info_022_TIA-S894.png
TIA-S900,아이보리 큐빅 오프숄더 미니원피스,3,productInfoTableMatched | internalProductInfoSource | cuts:제품정보/assets/aug_info/info_023_TIA-S900.png
TIA-S901,아이보리 프리미엄 큐빅 오프숄더 미니원피스,3,productInfoTableMatched | internalProductInfoSource | cuts:제품정보/assets/aug_info/info_024_TIA-S901.png
TIA-S921,아이보리 블랙리본 레이스 투피스,3,productInfoTableMatched | internalProductInfoSource | cuts:제품정보/assets/aug_info/info_025_TIA-S921_TIA-S922.png
TIA-S922,블랙리본 레이스 투피스,3,productInfoTableMatched | internalProductInfoSource | cuts:제품정보/assets/aug_info/info_025_TIA-S921_TIA-S922.png
TIA-S923,핑크 블랙리본 레이스 투피스,5,productInfoImage | productInfoImages | productInfoMatched | internalProductInfoSource | cuts:제품정보/assets/aug_info/info_025_TIA-S921_TIA-S922.png
TIA-S924,브로치 카라 투피스,3,productInfoTableMatched | internalProductInfoSource | cuts:제품정보/assets/aug_info/info_026_TIA-S924_TIA-S925_TIA-S926.png
TIA-S925,브로치 카라 투피스,3,productInfoTableMatched | internalProductInfoSource | cuts:제품정보/assets/aug_info/info_026_TIA-S924_TIA-S925_TIA-S926.png
TIA-S926,브로치 카라 투피스,3,productInfoTableMatched | internalProductInfoSource | cuts:제품정보/assets/aug_info/info_026_TIA-S924_TIA-S925_TIA-S926.png
TIA-S927,베이지 카라 베스트 시퀸 투피스,3,productInfoTableMatched | internalProductInfoSource | cuts:제품정보/assets/aug_info/info_027_TIA-S927.png
TIA-S928,체인 프린트 나시탑 세트,4,productInfoTableMatched | internalProductInfoSource | cuts:제품정보 1/assets/aug_info/info_028_TIA-S928_TIA-S929.png | cuts:제품정보 2/assets/aug_info/info_029_TIA-S928_TIA-S929_TIA-S930.png
TIA-S929,체인 프린트 나시탑 세트,4,productInfoTableMatched | internalProductInfoSource | cuts:제품정보 1/assets/aug_info/info_028_TIA-S928_TIA-S929.png | cuts:제품정보 2/assets/aug_info/info_029_TIA-S928_TIA-S929_TIA-S930.png
TIA-S930,도트 프린트 나시탑 세트,4,productInfoTableMatched | internalProductInfoSource | cuts:제품정보 1/assets/aug_info/info_029_TIA-S928_TIA-S929_TIA-S930.png | cuts:제품정보 2/assets/aug_info/info_030_TIA-S930.png
TIA-S931,리본 플레어 미니원피스,3,productInfoTableMatched | internalProductInfoSource | cuts:제품정보/assets/aug_info/info_031_TIA-S931_TIA-S932_TIA-S933.png
TIA-S932,리본 플레어 미니원피스,3,productInfoTableMatched | internalProductInfoSource | cuts:제품정보/assets/aug_info/info_031_TIA-S931_TIA-S932_TIA-S933.png
TIA-S933,리본 플레어 미니원피스,3,productInfoTableMatched | internalProductInfoSource | cuts:제품정보/assets/aug_info/info_031_TIA-S931_TIA-S932_TIA-S933.png
TIA-S934,리본 플레어 미니원피스,3,productInfoTableMatched | internalProductInfoSource | cuts:제품정보/assets/aug_info/info_031_TIA-S931_TIA-S932_TIA-S933.png
TIA-S935,드레이프 오프숄더 미디원피스,3,productInfoTableMatched | internalProductInfoSource | cuts:제품정보/assets/aug_info/info_032_TIA-S935_TIA-S936_TIA-S937.png
TIA-S936,드레이프 오프숄더 미디원피스,3,productInfoTableMatched | internalProductInfoSource | cuts:제품정보/assets/aug_info/info_032_TIA-S935_TIA-S936_TIA-S937.png
TIA-S937,드레이프 오프숄더 미디원피스,3,productInfoTableMatched | internalProductInfoSource | cuts:제품정보/assets/aug_info/info_032_TIA-S935_TIA-S936_TIA-S937.png
TIA-S938,브라운 셔링 홀터 미니원피스,3,productInfoTableMatched | internalProductInfoSource | cuts:제품정보/assets/aug_info/info_033_TIA-S938.png
PEARL-S911,블루 버클라인 미니원피스,3,productInfoTableMatched | internalProductInfoSource | cuts:제품정보/assets/aug_info/info_007_PEARL-S911_PEARL-S912.png
PEARL-S912,블랙 버클라인 미니원피스,3,productInfoTableMatched | internalProductInfoSource | cuts:제품정보/assets/aug_info/info_007_PEARL-S911_PEARL-S912.png
PEARL-S913,아이보리 버튼 슬림 미디원피스,3,productInfoTableMatched | internalProductInfoSource | cuts:제품정보/assets/aug_info/info_008_PEARL-S913_PEARL-S914.png
PEARL-S914,핑크 버튼 슬림 미디원피스,3,productInfoTableMatched | internalProductInfoSource | cuts:제품정보/assets/aug_info/info_008_PEARL-S913_PEARL-S914.png
PEARL-S915,아이보리 버클포인트 미니원피스,3,productInfoTableMatched | internalProductInfoSource | cuts:제품정보/assets/aug_info/info_009_PEARL-S915_PEARL-S916.png
PEARL-S916,블랙 버클포인트 미니원피스,3,productInfoTableMatched | internalProductInfoSource | cuts:제품정보/assets/aug_info/info_009_PEARL-S915_PEARL-S916.png
HEP-S884,브라운 버클 슬릿 미니원피스,3,productInfoTableMatched | internalProductInfoSource | cuts:제품정보/assets/aug_info/info_002_HEP-S884_HEP-S885.png
HEP-S885,그레이 버클 슬릿 미니원피스,3,productInfoTableMatched | internalProductInfoSource | cuts:제품정보/assets/aug_info/info_002_HEP-S884_HEP-S885.png
HIYA-S882,핑크 트위드 퍼프 투피스,3,productInfoTableMatched | internalProductInfoSource | cuts:제품정보/assets/aug_info/info_003_HIYA-S882_HIYA-S883.png
HIYA-S883,민트 트위드 퍼프 투피스,3,productInfoTableMatched | internalProductInfoSource | cuts:제품정보/assets/aug_info/info_003_HIYA-S882_HIYA-S883.png
