상품코드,상품명,가격,컬러,제품정보매칭,제품정보이미지
GRA-S888,블랙 체인홀터 미디원피스,144000,블랙,YES,assets/aug_info/info_001_GRA-S890_GRA-S889_GRA-S888.png
GRA-S889,레드 체인홀터 미디원피스,144000,레드,YES,assets/aug_info/info_001_GRA-S890_GRA-S889_GRA-S888.png
GRA-S890,아이보리 체인홀터 미디원피스,144000,아이보리,YES,assets/aug_info/info_001_GRA-S890_GRA-S889_GRA-S888.png
SEY-S907,아이보리 배색라인 플레어 원피스,135000,아이보리,YES,assets/aug_info/info_010_SEY-S907_SEY-S908.png
SEY-S908,블랙 배색라인 플레어 원피스,135000,블랙,YES,assets/aug_info/info_010_SEY-S907_SEY-S908.png
SEY-S909,핑크 오프숄더 러플 원피스,135000,핑크,YES,assets/aug_info/info_011_SEY-S909_SEY-S910.png
SEY-S910,블랙 오프숄더 러플 원피스,135000,블랙,YES,assets/aug_info/info_011_SEY-S909_SEY-S910.png
SUN-S886,아이보리 쉬폰 플레어 원피스,135000,아이보리,NO,
SUN-S887,블랙 쉬폰 플레어 원피스,135000,블랙,NO,
JINA-S878,핑크 브이넥 홀터 원피스,126000,핑크,YES,assets/aug_info/info_004_JINA-S878_JINA-S879.png
JINA-S879,블랙 브이넥 홀터 원피스,126000,블랙,YES,assets/aug_info/info_004_JINA-S878_JINA-S879.png
JINA-S880,아이보리 홀터 슬릿 미디원피스,131000,아이보리,NO,
JINA-S881,블랙 홀터 슬릿 미디원피스,131000,블랙,NO,
JINA-S917,아이보리 프릴라인 미디원피스,126000,아이보리,YES,assets/aug_info/info_005_JINA-S917_JINA-S918.png
JINA-S918,블랙 프릴라인 미디원피스,126000,블랙,YES,assets/aug_info/info_005_JINA-S917_JINA-S918.png
JINA-S919,아이보리 원숄더 드레이프 원피스,131000,아이보리,YES,assets/aug_info/info_006_JINA-S919_JINA-S920.png
JINA-S920,핑크 원숄더 드레이프 원피스,131000,핑크,YES,assets/aug_info/info_006_JINA-S919_JINA-S920.png
TIA-S856,핀턱 나시탑,72000,아이보리/블랙,YES,assets/aug_info/info_012_TIA-S857.png
TIA-S857,플라워 매듭 나시탑,72000,아이보리/블랙,YES,assets/aug_info/info_012_TIA-S857.png
TIA-S858,아이보리 시퀸 쉬폰 나시 블라우스,63000,아이보리,YES,assets/aug_info/info_013_TIA-S858.png
TIA-S859,플라워 미니 스커트,,네이비 / 블랙,NO,
