code,name,size_table,wear_table,source
GRA-S888,블랙 체인홀터 미디원피스,Y,Y,GRA-890 GRA-889 GRA-888 #Uc81c#Ud488#Uc815#Ubcf4.png
GRA-S889,레드 체인홀터 미디원피스,Y,Y,GRA-890 GRA-889 GRA-888 #Uc81c#Ud488#Uc815#Ubcf4.png
GRA-S890,아이보리 체인홀터 미디원피스,Y,Y,GRA-890 GRA-889 GRA-888 #Uc81c#Ud488#Uc815#Ubcf4.png
SEY-S907,아이보리 배색라인 플레어 원피스,N,Y,SEY-S907(#Uc544#Uc774#Ubcf4#Ub9ac) SEY-S908(#Ube14#Ub799) #Uc81c#Ud488#Uc815#Ubcf4.png
SEY-S908,블랙 배색라인 플레어 원피스,N,Y,SEY-S907(#Uc544#Uc774#Ubcf4#Ub9ac) SEY-S908(#Ube14#Ub799) #Uc81c#Ud488#Uc815#Ubcf4.png
SEY-S909,핑크 오프숄더 러플 원피스,N,Y,SEY-S909(#Ud551#Ud06c) SEY-S910(#Ube14#Ub799)#Uc81c#Ud488#Uc815#Ubcf4.png
SEY-S910,블랙 오프숄더 러플 원피스,N,Y,SEY-S909(#Ud551#Ud06c) SEY-S910(#Ube14#Ub799)#Uc81c#Ud488#Uc815#Ubcf4.png
JINA-S878,핑크 브이넥 홀터 원피스,Y,Y,"JINA-S878, JINA-S879 #Uc81c#Ud488#Uc815#Ubcf4.png"
JINA-S879,블랙 브이넥 홀터 원피스,Y,Y,"JINA-S878, JINA-S879 #Uc81c#Ud488#Uc815#Ubcf4.png"
JINA-S917,아이보리 프릴라인 미디원피스,Y,Y,JINA-S917(#Uc544#Uc774#Ubcf4#Ub9ac) JINA-S918(#Ube14#Ub799) #Uc81c#Ud488#Uc815#Ubcf4.png
JINA-S918,블랙 프릴라인 미디원피스,Y,Y,JINA-S917(#Uc544#Uc774#Ubcf4#Ub9ac) JINA-S918(#Ube14#Ub799) #Uc81c#Ud488#Uc815#Ubcf4.png
JINA-S919,아이보리 원숄더 드레이프 원피스,N,Y,"JINA-S919(#Uc544#Uc774#Ubcf4#Ub9ac), JINA-S920(#Ud551#Ud06c) #Uc81c#Ud488#Uc815#Ubcf4.png"
JINA-S920,핑크 원숄더 드레이프 원피스,N,Y,"JINA-S919(#Uc544#Uc774#Ubcf4#Ub9ac), JINA-S920(#Ud551#Ud06c) #Uc81c#Ud488#Uc815#Ubcf4.png"
TIA-S857,플라워 매듭 나시탑,Y,Y,TIA-S857 #Uc81c#Ud488#Uc815#Ubcf4.png
TIA-S858,아이보리 시퀸 쉬폰 나시 블라우스,N,Y,TIA-S858 #Uc81c#Ud488#Uc815#Ubcf4.png
TIA-S860,블랙 프릴 쉬폰 벨트 미니원피스,Y,Y,TIA-S860 #Uc81c#Ud488#Uc815#Ubcf4.png
TIA-S862,아이보리 레이스 홀터 쉬폰 미니원피스,N,Y,TIA-S863(#Ube14#Ub799) TIA-S862(#Uc544#Uc774#Ubcf4#Ub9ac) #Uc81c#Ud488#Uc815#Ubcf4.png
