code,name,rows,status
GRA-S888,블랙 체인홀터 미디원피스,3,정확 테이블 반영
GRA-S889,레드 체인홀터 미디원피스,3,정확 테이블 반영
GRA-S890,아이보리 체인홀터 미디원피스,3,정확 테이블 반영
SEY-S907,아이보리 배색라인 플레어 원피스,3,정확 테이블 반영
SEY-S908,블랙 배색라인 플레어 원피스,3,정확 테이블 반영
SEY-S909,핑크 오프숄더 러플 원피스,3,정확 테이블 반영
SEY-S910,블랙 오프숄더 러플 원피스,3,정확 테이블 반영
JINA-S878,핑크 브이넥 홀터 원피스,3,정확 테이블 반영
JINA-S879,블랙 브이넥 홀터 원피스,3,정확 테이블 반영
JINA-S917,아이보리 프릴라인 미디원피스,3,정확 테이블 반영
JINA-S918,블랙 프릴라인 미디원피스,3,정확 테이블 반영
JINA-S919,아이보리 원숄더 드레이프 원피스,3,정확 테이블 반영
JINA-S920,핑크 원숄더 드레이프 원피스,3,정확 테이블 반영
TIA-S857,플라워 매듭 나시탑,2,정확 테이블 반영
TIA-S858,아이보리 시퀸 쉬폰 나시 블라우스,2,정확 테이블 반영
TIA-S860,블랙 프릴 쉬폰 벨트 미니원피스,2,정확 테이블 반영
TIA-S862,아이보리 레이스 홀터 쉬폰 미니원피스,2,정확 테이블 반영
TIA-S863,블랙 레이스 홀터 쉬폰 미니원피스,2,정확 테이블 반영
TIA-S864,화이트 레이스 크롭 투피스,2,정확 테이블 반영
TIA-S865,블랙 레이스 크롭 투피스,2,정확 테이블 반영
TIA-S866,아이보리 플라워 코르셋 투피스,4,정확 테이블 반영
TIA-S870,아이보리 트위드 버튼 미니원피스,2,정확 테이블 반영
TIA-S871,민트 트위드 버튼 미니원피스,2,정확 테이블 반영
TIA-S873,아이보리 트위드 홀터 투피스,4,정확 테이블 반영
TIA-S891,베이지 드레이프 오프숄더 미니원피스,2,정확 테이블 반영
TIA-S892,아이보리 진주라인 트위드 미니원피스,2,정확 테이블 반영
TIA-S893,핑크 진주라인 트위드 미니원피스,2,정확 테이블 반영
TIA-S894,아이보리 블랙리본 플리츠 롱드레스,2,정확 테이블 반영
TIA-S900,아이보리 큐빅 오프숄더 미니원피스,2,정확 테이블 반영
TIA-S901,아이보리 프리미엄 큐빅 오프숄더 미니원피스,2,정확 테이블 반영
TIA-S921,아이보리 블랙리본 레이스 투피스,2,정확 테이블 반영
TIA-S922,블랙리본 레이스 투피스,2,정확 테이블 반영
TIA-S924,브로치 카라 투피스,1,정확 테이블 반영
TIA-S925,브로치 카라 투피스,1,정확 테이블 반영
TIA-S926,브로치 카라 투피스,1,정확 테이블 반영
TIA-S927,베이지 카라 베스트 시퀸 투피스,2,정확 테이블 반영
TIA-S928,체인 프린트 나시탑 세트,3,정확 테이블 반영
TIA-S929,체인 프린트 나시탑 세트,3,정확 테이블 반영
TIA-S930,도트 프린트 나시탑 세트,3,정확 테이블 반영
TIA-S931,리본 플레어 미니원피스,3,정확 테이블 반영
TIA-S932,리본 플레어 미니원피스,3,정확 테이블 반영
TIA-S933,리본 플레어 미니원피스,3,정확 테이블 반영
TIA-S934,리본 플레어 미니원피스,3,정확 테이블 반영
TIA-S935,드레이프 오프숄더 미디원피스,3,정확 테이블 반영
TIA-S936,드레이프 오프숄더 미디원피스,3,정확 테이블 반영
TIA-S937,드레이프 오프숄더 미디원피스,3,정확 테이블 반영
TIA-S938,브라운 셔링 홀터 미니원피스,2,정확 테이블 반영
PEARL-S911,블루 버클라인 미니원피스,6,정확 테이블 반영
PEARL-S912,블랙 버클라인 미니원피스,6,정확 테이블 반영
PEARL-S913,아이보리 버튼 슬림 미디원피스,3,정확 테이블 반영
PEARL-S914,핑크 버튼 슬림 미디원피스,3,정확 테이블 반영
PEARL-S915,아이보리 버클포인트 미니원피스,3,정확 테이블 반영
PEARL-S916,블랙 버클포인트 미니원피스,3,정확 테이블 반영
HEP-S884,브라운 버클 슬릿 미니원피스,3,정확 테이블 반영
HEP-S885,그레이 버클 슬릿 미니원피스,3,정확 테이블 반영
HIYA-S882,핑크 트위드 퍼프 투피스,6,정확 테이블 반영
HIYA-S883,민트 트위드 퍼프 투피스,6,정확 테이블 반영
