code,name,before_cap,after_cap,before_zipper,after_zipper,wear_tables,image_ref_removed
GRA-S888,블랙 체인홀터 미디원피스,없음,있음,,뒷지퍼,"착용 정보: 신축성=있음, 캡여부=있음, 안감=있음, 비침=없음, 두께감=보통, 지퍼=뒷지퍼",
GRA-S889,레드 체인홀터 미디원피스,없음,있음,,뒷지퍼,"착용 정보: 신축성=있음, 캡여부=있음, 안감=있음, 비침=없음, 두께감=보통, 지퍼=뒷지퍼",
GRA-S890,아이보리 체인홀터 미디원피스,없음,있음,,뒷지퍼,"착용 정보: 신축성=있음, 캡여부=있음, 안감=있음, 비침=없음, 두께감=보통, 지퍼=뒷지퍼",
SEY-S907,아이보리 배색라인 플레어 원피스,없음,있음,,뒷지퍼,"착용 정보: 신축성=있음, 캡여부=있음, 안감=있음, 비침=없음, 두께감=보통, 지퍼=뒷지퍼",
SEY-S908,블랙 배색라인 플레어 원피스,없음,있음,,뒷지퍼,"착용 정보: 신축성=있음, 캡여부=있음, 안감=있음, 비침=없음, 두께감=보통, 지퍼=뒷지퍼",
SEY-S909,핑크 오프숄더 러플 원피스,없음,있음,,뒷지퍼,"착용 정보: 신축성=있음, 캡여부=있음, 안감=있음, 비침=없음, 두께감=보통, 지퍼=뒷지퍼",
SEY-S910,블랙 오프숄더 러플 원피스,없음,있음,,뒷지퍼,"착용 정보: 신축성=있음, 캡여부=있음, 안감=있음, 비침=없음, 두께감=보통, 지퍼=뒷지퍼",
JINA-S878,핑크 브이넥 홀터 원피스,있음,있음,,뒷지퍼,"착용 정보: 신축성=있음, 캡여부=있음, 안감=있음, 비침=없음, 두께감=보통, 지퍼=뒷지퍼",
JINA-S879,블랙 브이넥 홀터 원피스,있음,있음,,뒷지퍼,"착용 정보: 신축성=있음, 캡여부=있음, 안감=있음, 비침=없음, 두께감=보통, 지퍼=뒷지퍼",
JINA-S917,아이보리 프릴라인 미디원피스,있음,있음,,앞지퍼,"착용 정보: 신축성=있음, 캡여부=있음, 안감=있음, 비침=없음, 두께감=보통, 지퍼=앞지퍼",
JINA-S918,블랙 프릴라인 미디원피스,있음,있음,,앞지퍼,"착용 정보: 신축성=있음, 캡여부=있음, 안감=있음, 비침=없음, 두께감=보통, 지퍼=앞지퍼",
JINA-S919,아이보리 원숄더 드레이프 원피스,없음,있음,,뒷지퍼,"착용 정보: 신축성=있음, 캡여부=있음, 안감=있음, 비침=없음, 두께감=보통, 지퍼=뒷지퍼",
JINA-S920,핑크 원숄더 드레이프 원피스,없음,있음,,뒷지퍼,"착용 정보: 신축성=있음, 캡여부=있음, 안감=있음, 비침=없음, 두께감=보통, 지퍼=뒷지퍼",
TIA-S856,핀턱 나시탑,,,,,제품정보 이미지 참조 제거만 적용,Y
TIA-S857,플라워 매듭 나시탑,있음,있음,,없음,"착용 정보: 신축성=있음, 캡여부=있음, 안감=부분, 비침=없음, 두께감=보통, 지퍼=없음",
TIA-S858,아이보리 시퀸 쉬폰 나시 블라우스,없음,없음,없음,없음,"착용 정보: 신축성=없음, 캡여부=없음, 안감=있음, 비침=없음, 두께감=보통, 지퍼=없음",
TIA-S860,블랙 프릴 쉬폰 벨트 미니원피스,없음,없음,,없음,"착용 정보: 신축성=없음, 캡여부=없음, 안감=있음, 비침=있음, 두께감=보통, 지퍼=없음",
TIA-S862,아이보리 레이스 홀터 쉬폰 미니원피스,,없음,,옆지퍼,"착용 정보: 신축성=좋음, 캡여부=없음, 안감=있음, 비침=없음, 두께감=보통, 지퍼=옆지퍼",
TIA-S863,블랙 레이스 홀터 쉬폰 미니원피스,,없음,,옆지퍼,"착용 정보: 신축성=좋음, 캡여부=없음, 안감=있음, 비침=없음, 두께감=보통, 지퍼=옆지퍼",
TIA-S864,화이트 레이스 크롭 투피스,있음,없음,없음,상의 없음 / 스커트 없음,"상의 착용 정보: 신축성=좋음, 캡여부=없음, 안감=없음, 비침=없음, 두께감=보통, 지퍼=없음 | 스커트 착용 정보: 신축성=좋음, 안감=없음, 비침=없음, 두께감=보통, 지퍼=없음",
TIA-S865,블랙 레이스 크롭 투피스,있음,없음,없음,상의 없음 / 스커트 없음,"상의 착용 정보: 신축성=좋음, 캡여부=없음, 안감=없음, 비침=없음, 두께감=보통, 지퍼=없음 | 스커트 착용 정보: 신축성=좋음, 안감=없음, 비침=없음, 두께감=보통, 지퍼=없음",
TIA-S866,아이보리 플라워 코르셋 투피스,,있음,,상의 뒷지퍼 / 스커트 없음,"상의 착용 정보: 신축성=없음, 캡여부=있음, 안감=있음, 비침=없음, 두께감=보통, 지퍼=뒷지퍼 | 스커트 착용 정보: 신축성=없음, 안감=있음, 비침=없음, 두께감=보통, 지퍼=없음",
TIA-S870,아이보리 트위드 버튼 미니원피스,없음,없음,없음,없음,"착용 정보: 신축성=없음, 캡여부=없음, 안감=있음, 비침=없음, 두께감=보통, 지퍼=없음",
TIA-S871,민트 트위드 버튼 미니원피스,없음,없음,없음,없음,"착용 정보: 신축성=없음, 캡여부=없음, 안감=있음, 비침=없음, 두께감=보통, 지퍼=없음",
TIA-S873,아이보리 트위드 홀터 투피스,있음,없음,뒷지퍼,상의 뒷지퍼 / 스커트 뒷지퍼,"상의 착용 정보: 신축성=없음, 캡여부=없음, 안감=있음, 비침=없음, 두께감=보통, 지퍼=뒷지퍼 | 스커트 착용 정보: 신축성=없음, 안감=있음, 비침=없음, 두께감=보통, 지퍼=뒷지퍼",
TIA-S891,베이지 드레이프 오프숄더 미니원피스,없음,없음,옆지퍼,옆지퍼,"착용 정보: 신축성=좋음, 캡여부=없음, 안감=없음, 비침=없음, 두께감=보통, 지퍼=옆지퍼",
TIA-S892,아이보리 진주라인 트위드 미니원피스,없음,없음,뒷지퍼,뒷지퍼,"착용 정보: 신축성=없음, 캡여부=없음, 안감=있음, 비침=없음, 두께감=보통, 지퍼=뒷지퍼",
TIA-S893,핑크 진주라인 트위드 미니원피스,없음,없음,뒷지퍼,뒷지퍼,"착용 정보: 신축성=없음, 캡여부=없음, 안감=있음, 비침=없음, 두께감=보통, 지퍼=뒷지퍼",
