상품코드,거래처,엑셀원본폴더,원본상품번호,상품명,이미지수,상태,매칭폴더/메모
N260001,그레이스,S504,S504,화이트 러플 브이넥 크롭 투피스,4,매칭완료,그레이스/S504
N260002,그레이스,S505,S505,핑크 러플 브이넥 크롭 투피스,4,매칭완료,그레이스/S505
N260003,그레이스,S506,S506,블랙 러플 브이넥 크롭 투피스,4,매칭완료,그레이스/S506
N260004,그레이스,S507,S507,화이트 마린 스타일 투피스,4,매칭완료,그레이스/S507
N260005,그레이스,S508,S508,네이비 마린 스타일 투피스,4,매칭완료,그레이스/S508
N260006,세윤,S405 투피스,S405,핑크/화이트 러플 오프숄더 크롭 투피스,4,매칭완료,세윤/S405 투피스
N260007,세윤,S406 투피스,S406,블랙 러플 투피스,4,매칭완료,세윤/S406 투피스
N260008,세윤,S472 투피스,S472,화이트/블랙 오프숄더 튤스커트 투피스,4,매칭완료,세윤/S472 투피스
N260009,세윤,S473 투피스,S473,화이트 마린 세일러 투피스,4,매칭완료,세윤/S473 투피스
N260010,세윤,S474 투피스,S474,블랙 마린 세일러 투피스,4,매칭완료,세윤/S474 투피스
N260011,세윤,S509,S509,화이트/블랙 오프숄더 랩스커트 투피스,4,매칭완료,세윤/S509
N260012,세윤,S510,S510,핑크/화이트 핑크 오프숄더 랩스커트 투피스,4,매칭완료,세윤/S510
N260013,세윤,S511,S511,블랙/화이트 블랙 오프숄더 랩스커트 투피스,4,매칭완료,세윤/S511
N260014,세윤,S512,S512,핑크 골드버튼 체인 슬림 원피스,4,매칭완료,세윤/S512
N260015,세윤,S513,S513,소라 골드버튼 체인 슬림 원피스,4,매칭완료,세윤/S513
N260016,실루엣,글램OPS,글램OPS,베이지/화이트 글램미디원피스,4,매칭완료,실루엣/글램OPS
N260017,실루엣,기네스OPS 블랙,기네스OPS_블랙,블랙 기네스미니원피스,4,매칭완료,실루엣/기네스OPS 블랙
N260018,실루엣,기네스OPS 아이,기네스OPS_아이,화이트 기네스미니원피스,4,매칭완료,실루엣/기네스OPS 아이
N260019,실루엣,기네스OPS 추가,기네스OPS_추가,기네스미니원피스,4,매칭완료,실루엣/기네스OPS 추가
N260020,실루엣,다이아브로치,다이아브로치,악세사리 옵션,3,매칭완료,실루엣/다이아브로치
