code,검수결과,반영상태,사유,다음작업
ANC-4002,불합격,쇼룸 연결 해제,main/full/product가 원본 리사이즈 수준으로 중복되어 상세페이지 생성컷으로 부적합,실제 AI 생성 또는 수동 편집으로 대표/전신/제품컷 재제작 필요
ANC-4004,불합격,쇼룸 연결 해제,main/full/product가 원본 리사이즈 수준으로 중복되어 상세페이지 생성컷으로 부적합,실제 AI 생성 또는 수동 편집으로 대표/전신/제품컷 재제작 필요
ANC-4005,불합격,쇼룸 연결 해제,main/full/product가 원본 리사이즈 수준으로 중복되어 상세페이지 생성컷으로 부적합,실제 AI 생성 또는 수동 편집으로 대표/전신/제품컷 재제작 필요
ANC-4006,불합격,쇼룸 연결 해제,main/full/product가 원본 리사이즈 수준으로 중복되어 상세페이지 생성컷으로 부적합,실제 AI 생성 또는 수동 편집으로 대표/전신/제품컷 재제작 필요
ANC-4007,불합격,쇼룸 연결 해제,main/full/product가 원본 리사이즈 수준으로 중복되어 상세페이지 생성컷으로 부적합,실제 AI 생성 또는 수동 편집으로 대표/전신/제품컷 재제작 필요
ANC-4008,불합격,쇼룸 연결 해제,main/full/product가 원본 리사이즈 수준으로 중복되어 상세페이지 생성컷으로 부적합,실제 AI 생성 또는 수동 편집으로 대표/전신/제품컷 재제작 필요
ANC-4009,불합격,쇼룸 연결 해제,main/full/product가 원본 리사이즈 수준으로 중복되어 상세페이지 생성컷으로 부적합,실제 AI 생성 또는 수동 편집으로 대표/전신/제품컷 재제작 필요
ANC-4010,불합격,쇼룸 연결 해제,main/full/product가 원본 리사이즈 수준으로 중복되어 상세페이지 생성컷으로 부적합,실제 AI 생성 또는 수동 편집으로 대표/전신/제품컷 재제작 필요
ANC-4011,불합격,쇼룸 연결 해제,main/full/product가 원본 리사이즈 수준으로 중복되어 상세페이지 생성컷으로 부적합,실제 AI 생성 또는 수동 편집으로 대표/전신/제품컷 재제작 필요
ANC-4012,불합격,쇼룸 연결 해제,main/full/product가 원본 리사이즈 수준으로 중복되어 상세페이지 생성컷으로 부적합,실제 AI 생성 또는 수동 편집으로 대표/전신/제품컷 재제작 필요
ANC-4013,불합격,쇼룸 연결 해제,main/full/product가 원본 리사이즈 수준으로 중복되어 상세페이지 생성컷으로 부적합,실제 AI 생성 또는 수동 편집으로 대표/전신/제품컷 재제작 필요
ANC-4014,불합격,쇼룸 연결 해제,main/full/product가 원본 리사이즈 수준으로 중복되어 상세페이지 생성컷으로 부적합,실제 AI 생성 또는 수동 편집으로 대표/전신/제품컷 재제작 필요
ANC-4015,불합격,쇼룸 연결 해제,main/full/product가 원본 리사이즈 수준으로 중복되어 상세페이지 생성컷으로 부적합,실제 AI 생성 또는 수동 편집으로 대표/전신/제품컷 재제작 필요
ANC-4016,불합격,쇼룸 연결 해제,main/full/product가 원본 리사이즈 수준으로 중복되어 상세페이지 생성컷으로 부적합,실제 AI 생성 또는 수동 편집으로 대표/전신/제품컷 재제작 필요
ANC-4017,불합격,쇼룸 연결 해제,main/full/product가 원본 리사이즈 수준으로 중복되어 상세페이지 생성컷으로 부적합,실제 AI 생성 또는 수동 편집으로 대표/전신/제품컷 재제작 필요
ANC-4018,불합격,쇼룸 연결 해제,main/full/product가 원본 리사이즈 수준으로 중복되어 상세페이지 생성컷으로 부적합,실제 AI 생성 또는 수동 편집으로 대표/전신/제품컷 재제작 필요
ANC-4019,불합격,쇼룸 연결 해제,main/full/product가 원본 리사이즈 수준으로 중복되어 상세페이지 생성컷으로 부적합,실제 AI 생성 또는 수동 편집으로 대표/전신/제품컷 재제작 필요
ANC-4021,불합격,쇼룸 연결 해제,main/full/product가 원본 리사이즈 수준으로 중복되어 상세페이지 생성컷으로 부적합,실제 AI 생성 또는 수동 편집으로 대표/전신/제품컷 재제작 필요
ANC-4022,불합격,쇼룸 연결 해제,main/full/product가 원본 리사이즈 수준으로 중복되어 상세페이지 생성컷으로 부적합,실제 AI 생성 또는 수동 편집으로 대표/전신/제품컷 재제작 필요
ANC-4023,불합격,쇼룸 연결 해제,main/full/product가 원본 리사이즈 수준으로 중복되어 상세페이지 생성컷으로 부적합,실제 AI 생성 또는 수동 편집으로 대표/전신/제품컷 재제작 필요
ANC-4024,불합격,쇼룸 연결 해제,main/full/product가 원본 리사이즈 수준으로 중복되어 상세페이지 생성컷으로 부적합,실제 AI 생성 또는 수동 편집으로 대표/전신/제품컷 재제작 필요
ANC-4025,불합격,쇼룸 연결 해제,main/full/product가 원본 리사이즈 수준으로 중복되어 상세페이지 생성컷으로 부적합,실제 AI 생성 또는 수동 편집으로 대표/전신/제품컷 재제작 필요
ANC-4026,불합격,쇼룸 연결 해제,main/full/product가 원본 리사이즈 수준으로 중복되어 상세페이지 생성컷으로 부적합,실제 AI 생성 또는 수동 편집으로 대표/전신/제품컷 재제작 필요
ANC-4027,불합격,쇼룸 연결 해제,main/full/product가 원본 리사이즈 수준으로 중복되어 상세페이지 생성컷으로 부적합,실제 AI 생성 또는 수동 편집으로 대표/전신/제품컷 재제작 필요
ANC-4028,불합격,쇼룸 연결 해제,main/full/product가 원본 리사이즈 수준으로 중복되어 상세페이지 생성컷으로 부적합,실제 AI 생성 또는 수동 편집으로 대표/전신/제품컷 재제작 필요
ANC-4029,불합격,쇼룸 연결 해제,main/full/product가 원본 리사이즈 수준으로 중복되어 상세페이지 생성컷으로 부적합,실제 AI 생성 또는 수동 편집으로 대표/전신/제품컷 재제작 필요
ANC-4030,불합격,쇼룸 연결 해제,main/full/product가 원본 리사이즈 수준으로 중복되어 상세페이지 생성컷으로 부적합,실제 AI 생성 또는 수동 편집으로 대표/전신/제품컷 재제작 필요
ANC-4031,불합격,쇼룸 연결 해제,main/full/product가 원본 리사이즈 수준으로 중복되어 상세페이지 생성컷으로 부적합,실제 AI 생성 또는 수동 편집으로 대표/전신/제품컷 재제작 필요
