code,상품명,교체전대표이미지,교체후대표이미지,적용태그전,적용태그후,승인여부,검수결과,수정필요사항,실물대조필요,우선검수순번,대표컷적합여부,A라인검수,슬림핏검수,비고
ANC-4001,버튼셔링 원피스,assets/products/ank/generated/ANC-4001/ANC-4001-main.jpg,assets/products/ank/generated/ANC-4001/ANC-4001-main.jpg,NEW / 미니 원피스 컬렉션 / MINI / 미니 / 섹시 / 슬림 / 클럽 / 원피스 버튼 셔링 슬림글램 / 원피스 버튼 셔링 슬림글램,NEW / 미니 원피스 컬렉션 / MINI / 미니 / 섹시 / 슬림 / 클럽 / 원피스 버튼 셔링 슬림글램 / A라인 / 슬림핏 / 여성스러운핏 / 페미닌 / 라인감 / 셔링 / 미니원피스,수정,5컷 구성/태그 검수 필요,5번 제품컷 필요(현재 디테일컷); A라인 과잉 적용 여부 재검수,예,1,검수필요,재검수,적용후보,생성컷/기존컷 순서 검수 필요
ANC-4002,배색스퀘어 플레어 원피스,assets/ANC-4002_01.jpg,assets/products/ank/generated/ANC-4002/ANC-4002-main.jpg,NEW / 미니 원피스 컬렉션 / MINI / 미니 / 데일리 / 러블리 / 플레어 / 원피스 플레어 배색 러블리데일리 / 원피스 플레어 배색 러블리데일리,NEW / 미니 원피스 컬렉션 / MINI / 미니 / 데일리 / 러블리 / 플레어 / 원피스 플레어 배색 러블리데일리 / A라인 / 슬림핏 / 여성스러운핏 / 페미닌 / 라인감 / 배색 / 미니원피스,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,2,검수필요,적용후보,재검수,5컷 미만. 쇼룸용 5컷 생성 후보
ANC-4003,프릴블라우스 배색 원피스,assets/products/ank/generated/ANC-4003/ANC-4003-main-clean.jpg,assets/products/ank/generated/ANC-4003/ANC-4003-main-clean.jpg,NEW / 미니 원피스 컬렉션 / MINI / 미니 / 데일리 / 러블리 / 플레어 / 원피스 프릴 배색 러블리데일리 / 원피스 프릴 배색 러블리데일리,NEW / 미니 원피스 컬렉션 / MINI / 미니 / 데일리 / 러블리 / 플레어 / 원피스 프릴 배색 러블리데일리 / A라인 / 슬림핏 / 여성스러운핏 / 페미닌 / 라인감 / 배색 / 프릴 / 미니원피스,수정,5컷 구성/태그 검수 필요,2번 전신컷 필요(현재 메인컷); 3번 측면 또는 후면 필요(현재 전신컷); 4번 디테일컷 필요(현재 측면 또는 후면); 5번 제품컷 필요(현재 디테일컷); 슬림핏 과잉 적용 여부 재검수,예,3,검수필요,적용후보,재검수,생성컷/기존컷 순서 검수 필요
ANC-4004,세일러카라 플레어 원피스,assets/ANC-4004_01.jpg,assets/products/ank/generated/ANC-4004/ANC-4004-main.jpg,NEW / 미니 원피스 컬렉션 / MINI / 미니 / 데일리 / 러블리 / 플레어 / 원피스 카라 세일러카라 플레어 러블리데일리 / 원피스 카라 세일러카라 플레어 러블리데일리,NEW / 미니 원피스 컬렉션 / MINI / 미니 / 데일리 / 러블리 / 플레어 / 원피스 카라 세일러카라 플레어 러블리데일리 / A라인 / 슬림핏 / 여성스러운핏 / 페미닌 / 라인감 / 미니원피스,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,4,검수필요,적용후보,재검수,5컷 미만. 쇼룸용 5컷 생성 후보
ANC-4005,오프숄더 러플 원피스,assets/ANC-4005_01.jpg,assets/products/ank/generated/ANC-4005/ANC-4005-main.jpg,NEW / 미니 원피스 컬렉션 / MINI / 미니 / 데일리 / 러블리 / 플레어 / 원피스 오프숄더 러플 러블리데일리 / 원피스 오프숄더 러플 러블리데일리,NEW / 미니 원피스 컬렉션 / MINI / 미니 / 데일리 / 러블리 / 플레어 / 원피스 오프숄더 러플 러블리데일리 / A라인 / 슬림핏 / 여성스러운핏 / 페미닌 / 라인감 / 미니원피스,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,5,검수필요,적용후보,재검수,5컷 미만. 쇼룸용 5컷 생성 후보
ANC-4006,레이스숄더 플레어 원피스,assets/ANC-4006_01.jpg,assets/products/ank/generated/ANC-4006/ANC-4006-main.jpg,NEW / 미니 원피스 컬렉션 / MINI / 미니 / 데일리 / 러블리 / 플레어 / 원피스 레이스 플레어 러블리데일리 / 원피스 레이스 플레어 러블리데일리,NEW / 미니 원피스 컬렉션 / MINI / 미니 / 데일리 / 러블리 / 플레어 / 원피스 레이스 플레어 러블리데일리 / A라인 / 슬림핏 / 여성스러운핏 / 페미닌 / 라인감 / 미니원피스,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,6,검수필요,적용후보,재검수,5컷 미만. 쇼룸용 5컷 생성 후보
ANC-4007,체크셔링 원피스,assets/ANC-4007_01.jpg,assets/products/ank/generated/ANC-4007/ANC-4007-main.jpg,NEW / 미니 원피스 컬렉션 / MINI / 미니 / 데일리 / 러블리 / 플레어 / 원피스 셔링 체크 러블리데일리 / 원피스 셔링 체크 러블리데일리,NEW / 미니 원피스 컬렉션 / MINI / 미니 / 데일리 / 러블리 / 플레어 / 원피스 셔링 체크 러블리데일리 / A라인 / 슬림핏 / 여성스러운핏 / 페미닌 / 라인감 / 셔링 / 미니원피스,승인,사용자 검수 반영: 슬림핏 확정,슬림핏 적용후보 승인,아니오,7,검수필요,적용후보,승인,5컷 미만. 쇼룸용 5컷 생성 후보 / 사용자 지정 코드 슬림핏 확정
ANC-4008,펀칭레이스 플레어 원피스,assets/ANC-4008_01.jpg,assets/products/ank/generated/ANC-4008/ANC-4008-main.jpg,NEW / 미니 원피스 컬렉션 / MINI / 미니 / 데일리 / 러블리 / 플레어 / 원피스 레이스 플레어 펀칭 러블리데일리 / 원피스 레이스 플레어 펀칭 러블리데일리,NEW / 미니 원피스 컬렉션 / MINI / 미니 / 데일리 / 러블리 / 플레어 / 원피스 레이스 플레어 펀칭 러블리데일리 / A라인 / 슬림핏 / 여성스러운핏 / 페미닌 / 라인감 / 미니원피스,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,8,검수필요,적용후보,재검수,5컷 미만. 쇼룸용 5컷 생성 후보
ANC-4009,랩셔링 원피스,assets/ANC-4009_01.jpg,assets/products/ank/generated/ANC-4009/ANC-4009-main.jpg,NEW / 미니 원피스 컬렉션 / MINI / 미니 / 섹시 / 슬림 / 클럽 / 원피스 셔링 랩 슬림글램 / 원피스 셔링 랩 슬림글램,NEW / 미니 원피스 컬렉션 / MINI / 미니 / 섹시 / 슬림 / 클럽 / 원피스 셔링 랩 슬림글램 / A라인 / 슬림핏 / 여성스러운핏 / 페미닌 / 라인감 / 셔링 / 미니원피스,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; A라인 과잉 적용 여부 재검수,예,9,검수필요,재검수,적용후보,5컷 미만. 쇼룸용 5컷 생성 후보
ANC-4010,스트라이프 플레어 원피스,assets/ANC-4010_01.jpg,assets/products/ank/generated/ANC-4010/ANC-4010-main.jpg,NEW / 미니 원피스 컬렉션 / MINI / 미니 / 데일리 / 러블리 / 플레어 / 원피스 플레어 스트라이프 러블리데일리 / 원피스 플레어 스트라이프 러블리데일리,NEW / 미니 원피스 컬렉션 / MINI / 미니 / 데일리 / 러블리 / 플레어 / 원피스 플레어 스트라이프 러블리데일리 / A라인 / 슬림핏 / 여성스러운핏 / 페미닌 / 라인감 / 미니원피스,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,10,검수필요,적용후보,재검수,5컷 미만. 쇼룸용 5컷 생성 후보
