code,상품명,원본이미지,대표이미지,상세이미지개수,생성상태,검수상태,비고
ANC-4002,배색스퀘어 플레어 원피스,assets/ANC-4002_01.jpg,assets/products/ank/generated/ANC-4002/ANC-4002-main.jpg,9,생성완료,검수필요,원본 실물컷 기반 자동 상세컷. 후면/측면은 허구 생성하지 않고 디테일 보드로 대체
ANC-4004,세일러카라 플레어 원피스,assets/ANC-4004_01.jpg,assets/products/ank/generated/ANC-4004/ANC-4004-main.jpg,9,생성완료,검수필요,원본 실물컷 기반 자동 상세컷. 후면/측면은 허구 생성하지 않고 디테일 보드로 대체
ANC-4005,오프숄더 러플 원피스,assets/ANC-4005_01.jpg,assets/products/ank/generated/ANC-4005/ANC-4005-main.jpg,9,생성완료,검수필요,원본 실물컷 기반 자동 상세컷. 후면/측면은 허구 생성하지 않고 디테일 보드로 대체
ANC-4006,레이스숄더 플레어 원피스,assets/ANC-4006_01.jpg,assets/products/ank/generated/ANC-4006/ANC-4006-main.jpg,9,생성완료,검수필요,원본 실물컷 기반 자동 상세컷. 후면/측면은 허구 생성하지 않고 디테일 보드로 대체
ANC-4007,체크셔링 원피스,assets/ANC-4007_01.jpg,assets/products/ank/generated/ANC-4007/ANC-4007-main.jpg,9,생성완료,검수필요,원본 실물컷 기반 자동 상세컷. 후면/측면은 허구 생성하지 않고 디테일 보드로 대체
ANC-4008,펀칭레이스 플레어 원피스,assets/ANC-4008_01.jpg,assets/products/ank/generated/ANC-4008/ANC-4008-main.jpg,9,생성완료,검수필요,원본 실물컷 기반 자동 상세컷. 후면/측면은 허구 생성하지 않고 디테일 보드로 대체
ANC-4009,랩셔링 원피스,assets/ANC-4009_01.jpg,assets/products/ank/generated/ANC-4009/ANC-4009-main.jpg,9,생성완료,검수필요,원본 실물컷 기반 자동 상세컷. 후면/측면은 허구 생성하지 않고 디테일 보드로 대체
ANC-4010,스트라이프 플레어 원피스,assets/ANC-4010_01.jpg,assets/products/ank/generated/ANC-4010/ANC-4010-main.jpg,9,생성완료,검수필요,원본 실물컷 기반 자동 상세컷. 후면/측면은 허구 생성하지 않고 디테일 보드로 대체
ANC-4011,드레이프셔링 원피스,assets/ANC-4011_01.jpg,assets/products/ank/generated/ANC-4011/ANC-4011-main.jpg,9,생성완료,검수필요,원본 실물컷 기반 자동 상세컷. 후면/측면은 허구 생성하지 않고 디테일 보드로 대체
ANC-4012,더블버튼 플레어 원피스,assets/ANC-4012_01.jpg,assets/products/ank/generated/ANC-4012/ANC-4012-main.jpg,9,생성완료,검수필요,원본 실물컷 기반 자동 상세컷. 후면/측면은 허구 생성하지 않고 디테일 보드로 대체
ANC-4013,리본블라우스 셔링 원피스,assets/ANC-4013_01.jpg,assets/products/ank/generated/ANC-4013/ANC-4013-main.jpg,9,생성완료,검수필요,원본 실물컷 기반 자동 상세컷. 후면/측면은 허구 생성하지 않고 디테일 보드로 대체
