code,상품명,A라인 재검수 필요,슬림핏 재검수 필요,실물대조 필요,컷순서 수정필요,예외사유,승인여부,검수결과,수정필요사항,실물대조필요,우선검수순번,대표컷적합여부,A라인검수,슬림핏검수
ANC-4001,버튼셔링 원피스,예,아니오,아니오,예,5번 제품컷 필요(현재 디테일컷); A라인 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,5번 제품컷 필요(현재 디테일컷); A라인 과잉 적용 여부 재검수,예,1,검수필요,재검수,적용후보
ANC-4002,배색스퀘어 플레어 원피스,아니오,예,예,아니오,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,2,검수필요,적용후보,재검수
ANC-4003,프릴블라우스 배색 원피스,아니오,예,아니오,예,2번 전신컷 필요(현재 메인컷); 3번 측면 또는 후면 필요(현재 전신컷); 4번 디테일컷 필요(현재 측면 또는 후면); 5번 제품컷 필요(현재 디테일컷); 슬림핏 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,2번 전신컷 필요(현재 메인컷); 3번 측면 또는 후면 필요(현재 전신컷); 4번 디테일컷 필요(현재 측면 또는 후면); 5번 제품컷 필요(현재 디테일컷); 슬림핏 과잉 적용 여부 재검수,예,3,검수필요,적용후보,재검수
ANC-4004,세일러카라 플레어 원피스,아니오,예,예,아니오,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,4,검수필요,적용후보,재검수
ANC-4005,오프숄더 러플 원피스,아니오,예,예,아니오,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,5,검수필요,적용후보,재검수
ANC-4006,레이스숄더 플레어 원피스,아니오,예,예,아니오,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,6,검수필요,적용후보,재검수
ANC-4008,펀칭레이스 플레어 원피스,아니오,예,예,아니오,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,8,검수필요,적용후보,재검수
ANC-4009,랩셔링 원피스,예,아니오,예,아니오,쇼룸용 5컷 생성 필요; A라인 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; A라인 과잉 적용 여부 재검수,예,9,검수필요,재검수,적용후보
ANC-4010,스트라이프 플레어 원피스,아니오,예,예,아니오,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,10,검수필요,적용후보,재검수
ANC-4011,드레이프셔링 원피스,예,아니오,예,아니오,쇼룸용 5컷 생성 필요; A라인 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; A라인 과잉 적용 여부 재검수,예,11,검수필요,재검수,적용후보
ANC-4012,더블버튼 플레어 원피스,아니오,예,예,아니오,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,12,검수필요,적용후보,재검수
ANC-4014,더블버튼 레이스 원피스,아니오,예,예,아니오,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,14,검수필요,적용후보,재검수
ANC-4015,랩카라 셔링 원피스,예,아니오,예,아니오,쇼룸용 5컷 생성 필요; A라인 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; A라인 과잉 적용 여부 재검수,예,15,검수필요,재검수,적용후보
ANC-4016,스트라이프니트 플레어 원피스,아니오,예,예,아니오,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,16,검수필요,적용후보,재검수
