code,상품명,1_메인컷,2_전신컷,3_측면또는후면,4_디테일컷,5_제품컷,컷구성판정,수정필요사항,승인여부,검수결과,수정필요사항,실물대조필요,우선검수순번,대표컷적합여부,A라인검수,슬림핏검수
ANC-4001,버튼셔링 원피스,assets/products/ank/generated/ANC-4001/ANC-4001-main.jpg,assets/products/ank/generated/ANC-4001/ANC-4001-full.jpg,assets/products/ank/generated/ANC-4001/ANC-4001-front.jpg,assets/products/ank/generated/ANC-4001/ANC-4001-detail-board.jpg,assets/products/ank/generated/ANC-4001/ANC-4001-detail-neckline.jpg,수정필요,5번 제품컷 필요(현재 디테일컷); A라인 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,5번 제품컷 필요(현재 디테일컷); A라인 과잉 적용 여부 재검수,예,1,검수필요,재검수,적용후보
ANC-4002,배색스퀘어 플레어 원피스,assets/products/ank/generated/ANC-4002/ANC-4002-main.jpg,assets/products/ank/generated/ANC-4002/ANC-4002-full.jpg,assets/products/ank/generated/ANC-4002/ANC-4002-side-or-back-confirm-needed.jpg,assets/products/ank/generated/ANC-4002/ANC-4002-detail.jpg,assets/products/ank/generated/ANC-4002/ANC-4002-product.jpg,적합,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,2,검수필요,적용후보,재검수
ANC-4003,프릴블라우스 배색 원피스,assets/products/ank/generated/ANC-4003/ANC-4003-main-clean.jpg,assets/products/ank/generated/ANC-4003/ANC-4003-main.jpg,assets/products/ank/generated/ANC-4003/ANC-4003-full.jpg,assets/products/ank/generated/ANC-4003/ANC-4003-front.jpg,assets/products/ank/generated/ANC-4003/ANC-4003-detail-board.jpg,수정필요,2번 전신컷 필요(현재 메인컷); 3번 측면 또는 후면 필요(현재 전신컷); 4번 디테일컷 필요(현재 측면 또는 후면); 5번 제품컷 필요(현재 디테일컷); 슬림핏 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,2번 전신컷 필요(현재 메인컷); 3번 측면 또는 후면 필요(현재 전신컷); 4번 디테일컷 필요(현재 측면 또는 후면); 5번 제품컷 필요(현재 디테일컷); 슬림핏 과잉 적용 여부 재검수,예,3,검수필요,적용후보,재검수
ANC-4004,세일러카라 플레어 원피스,assets/products/ank/generated/ANC-4004/ANC-4004-main.jpg,assets/products/ank/generated/ANC-4004/ANC-4004-full.jpg,assets/products/ank/generated/ANC-4004/ANC-4004-side-or-back-confirm-needed.jpg,assets/products/ank/generated/ANC-4004/ANC-4004-detail.jpg,assets/products/ank/generated/ANC-4004/ANC-4004-product.jpg,적합,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,4,검수필요,적용후보,재검수
ANC-4005,오프숄더 러플 원피스,assets/products/ank/generated/ANC-4005/ANC-4005-main.jpg,assets/products/ank/generated/ANC-4005/ANC-4005-full.jpg,assets/products/ank/generated/ANC-4005/ANC-4005-side-or-back-confirm-needed.jpg,assets/products/ank/generated/ANC-4005/ANC-4005-detail.jpg,assets/products/ank/generated/ANC-4005/ANC-4005-product.jpg,적합,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,5,검수필요,적용후보,재검수
ANC-4006,레이스숄더 플레어 원피스,assets/products/ank/generated/ANC-4006/ANC-4006-main.jpg,assets/products/ank/generated/ANC-4006/ANC-4006-full.jpg,assets/products/ank/generated/ANC-4006/ANC-4006-side-or-back-confirm-needed.jpg,assets/products/ank/generated/ANC-4006/ANC-4006-detail.jpg,assets/products/ank/generated/ANC-4006/ANC-4006-product.jpg,적합,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,6,검수필요,적용후보,재검수
ANC-4007,체크셔링 원피스,assets/products/ank/generated/ANC-4007/ANC-4007-main.jpg,assets/products/ank/generated/ANC-4007/ANC-4007-full.jpg,assets/products/ank/generated/ANC-4007/ANC-4007-side-or-back-confirm-needed.jpg,assets/products/ank/generated/ANC-4007/ANC-4007-detail.jpg,assets/products/ank/generated/ANC-4007/ANC-4007-product.jpg,적합,슬림핏 적용후보 승인,승인,사용자 검수 반영: 슬림핏 확정,슬림핏 적용후보 승인,아니오,7,검수필요,적용후보,승인
ANC-4008,펀칭레이스 플레어 원피스,assets/products/ank/generated/ANC-4008/ANC-4008-main.jpg,assets/products/ank/generated/ANC-4008/ANC-4008-full.jpg,assets/products/ank/generated/ANC-4008/ANC-4008-side-or-back-confirm-needed.jpg,assets/products/ank/generated/ANC-4008/ANC-4008-detail.jpg,assets/products/ank/generated/ANC-4008/ANC-4008-product.jpg,적합,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,8,검수필요,적용후보,재검수
ANC-4009,랩셔링 원피스,assets/products/ank/generated/ANC-4009/ANC-4009-main.jpg,assets/products/ank/generated/ANC-4009/ANC-4009-full.jpg,assets/products/ank/generated/ANC-4009/ANC-4009-side-or-back-confirm-needed.jpg,assets/products/ank/generated/ANC-4009/ANC-4009-detail.jpg,assets/products/ank/generated/ANC-4009/ANC-4009-product.jpg,적합,쇼룸용 5컷 생성 필요; A라인 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; A라인 과잉 적용 여부 재검수,예,9,검수필요,재검수,적용후보
ANC-4010,스트라이프 플레어 원피스,assets/products/ank/generated/ANC-4010/ANC-4010-main.jpg,assets/products/ank/generated/ANC-4010/ANC-4010-full.jpg,assets/products/ank/generated/ANC-4010/ANC-4010-side-or-back-confirm-needed.jpg,assets/products/ank/generated/ANC-4010/ANC-4010-detail.jpg,assets/products/ank/generated/ANC-4010/ANC-4010-product.jpg,적합,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,10,검수필요,적용후보,재검수
