code,상품명,기존이미지경로,새이미지경로,대표이미지여부,상세이미지순서,컷구분,생성방식,검수상태,승인여부,검수결과,수정필요사항,실물대조필요,우선검수순번,대표컷적합여부,A라인검수,슬림핏검수,비고
ANC-4001,버튼셔링 원피스,outputs/ank_single_image_cut_system/ank_single_image_cut_review.csv,assets/products/ank/generated/ANC-4001/ANC-4001-main.jpg,예,1,대표 쇼룸컷,기존 생성컷,검수필요,승인,상세페이지 이미지 생성/교체 완료,,아니오,1,검수필요,기존 검수값 유지,기존 검수값 유지,
ANC-4001,버튼셔링 원피스,,assets/products/ank/generated/ANC-4001/ANC-4001-full.jpg,아니오,2,전신컷,기존 생성컷,검수필요,승인,상세페이지 이미지 생성/교체 완료,,아니오,1,검수필요,기존 검수값 유지,기존 검수값 유지,
ANC-4001,버튼셔링 원피스,,assets/products/ank/generated/ANC-4001/ANC-4001-front.jpg,아니오,3,상세 디테일 보드,기존 생성컷,검수필요,승인,상세페이지 이미지 생성/교체 완료,후면/측면은 원본 정보 부족으로 디테일 보드 대체. 사용자 품질 검수 필요,아니오,1,검수필요,기존 검수값 유지,기존 검수값 유지,
ANC-4001,버튼셔링 원피스,,assets/products/ank/generated/ANC-4001/ANC-4001-upper.jpg,아니오,4,넥라인 확대,기존 생성컷,검수필요,승인,상세페이지 이미지 생성/교체 완료,,아니오,1,검수필요,기존 검수값 유지,기존 검수값 유지,
ANC-4001,버튼셔링 원피스,,assets/products/ank/generated/ANC-4001/ANC-4001-lower.jpg,아니오,5,허리/라인 확대,기존 생성컷,검수필요,승인,상세페이지 이미지 생성/교체 완료,,아니오,1,검수필요,기존 검수값 유지,기존 검수값 유지,
ANC-4001,버튼셔링 원피스,,assets/products/ank/generated/ANC-4001/ANC-4001-product.jpg,아니오,6,밑단 확대,기존 생성컷,검수필요,승인,상세페이지 이미지 생성/교체 완료,,아니오,1,검수필요,기존 검수값 유지,기존 검수값 유지,
ANC-4001,버튼셔링 원피스,,assets/products/ank/generated/ANC-4001/ANC-4001-detail-neckline.jpg,아니오,7,원단 확대,기존 생성컷,검수필요,승인,상세페이지 이미지 생성/교체 완료,,아니오,1,검수필요,기존 검수값 유지,기존 검수값 유지,
ANC-4001,버튼셔링 원피스,,assets/products/ank/generated/ANC-4001/ANC-4001-detail-waist.jpg,아니오,8,제품컷,기존 생성컷,검수필요,승인,상세페이지 이미지 생성/교체 완료,,아니오,1,검수필요,기존 검수값 유지,기존 검수값 유지,
ANC-4001,버튼셔링 원피스,,assets/products/ank/generated/ANC-4001/ANC-4001-detail-hem.jpg,아니오,9,원본 보존컷,기존 생성컷,검수필요,승인,상세페이지 이미지 생성/교체 완료,,아니오,1,검수필요,기존 검수값 유지,기존 검수값 유지,
ANC-4001,버튼셔링 원피스,,assets/products/ank/generated/ANC-4001/ANC-4001-detail-fabric.jpg,아니오,10,추가컷,기존 생성컷,검수필요,승인,상세페이지 이미지 생성/교체 완료,,아니오,1,검수필요,기존 검수값 유지,기존 검수값 유지,
ANC-4001,버튼셔링 원피스,,assets/products/ank/generated/ANC-4001/ANC-4001-detail-board.jpg,아니오,11,추가컷,기존 생성컷,검수필요,승인,상세페이지 이미지 생성/교체 완료,,아니오,1,검수필요,기존 검수값 유지,기존 검수값 유지,
ANC-4001,버튼셔링 원피스,,assets/ANC-4001_01.jpg,아니오,12,추가컷,기존 생성컷,검수필요,승인,상세페이지 이미지 생성/교체 완료,,아니오,1,검수필요,기존 검수값 유지,기존 검수값 유지,원본 보존
ANC-4002,배색스퀘어 플레어 원피스,assets/ANC-4002_01.jpg,assets/products/ank/generated/ANC-4002/ANC-4002-main.jpg,예,1,대표 쇼룸컷,original-based detail crop set,검수필요,수정,상세페이지 이미지 생성/교체 완료,,예,2,검수필요,기존 검수값 유지,기존 검수값 유지,
ANC-4002,배색스퀘어 플레어 원피스,,assets/products/ank/generated/ANC-4002/ANC-4002-full.jpg,아니오,2,전신컷,original-based detail crop set,검수필요,수정,상세페이지 이미지 생성/교체 완료,,예,2,검수필요,기존 검수값 유지,기존 검수값 유지,
ANC-4002,배색스퀘어 플레어 원피스,,assets/products/ank/generated/ANC-4002/ANC-4002-detail-board.jpg,아니오,3,상세 디테일 보드,original-based detail crop set,검수필요,수정,상세페이지 이미지 생성/교체 완료,후면/측면은 원본 정보 부족으로 디테일 보드 대체. 사용자 품질 검수 필요,예,2,검수필요,기존 검수값 유지,기존 검수값 유지,
ANC-4002,배색스퀘어 플레어 원피스,,assets/products/ank/generated/ANC-4002/ANC-4002-detail-neckline.jpg,아니오,4,넥라인 확대,original-based detail crop set,검수필요,수정,상세페이지 이미지 생성/교체 완료,,예,2,검수필요,기존 검수값 유지,기존 검수값 유지,
ANC-4002,배색스퀘어 플레어 원피스,,assets/products/ank/generated/ANC-4002/ANC-4002-detail-waist.jpg,아니오,5,허리/라인 확대,original-based detail crop set,검수필요,수정,상세페이지 이미지 생성/교체 완료,,예,2,검수필요,기존 검수값 유지,기존 검수값 유지,
ANC-4002,배색스퀘어 플레어 원피스,,assets/products/ank/generated/ANC-4002/ANC-4002-detail-hem.jpg,아니오,6,밑단 확대,original-based detail crop set,검수필요,수정,상세페이지 이미지 생성/교체 완료,,예,2,검수필요,기존 검수값 유지,기존 검수값 유지,
ANC-4002,배색스퀘어 플레어 원피스,,assets/products/ank/generated/ANC-4002/ANC-4002-detail-fabric.jpg,아니오,7,원단 확대,original-based detail crop set,검수필요,수정,상세페이지 이미지 생성/교체 완료,,예,2,검수필요,기존 검수값 유지,기존 검수값 유지,
ANC-4002,배색스퀘어 플레어 원피스,,assets/products/ank/generated/ANC-4002/ANC-4002-product.jpg,아니오,8,제품컷,original-based detail crop set,검수필요,수정,상세페이지 이미지 생성/교체 완료,,예,2,검수필요,기존 검수값 유지,기존 검수값 유지,
ANC-4002,배색스퀘어 플레어 원피스,,assets/ANC-4002_01.jpg,아니오,9,원본 보존컷,original-based detail crop set,검수필요,수정,상세페이지 이미지 생성/교체 완료,,예,2,검수필요,기존 검수값 유지,기존 검수값 유지,원본 보존
ANC-4003,프릴블라우스 배색 원피스,outputs/ank_single_image_cut_system/ank_single_image_cut_review.csv,assets/products/ank/generated/ANC-4003/ANC-4003-main-clean.jpg,예,1,대표 쇼룸컷,기존 생성컷,검수필요,승인,상세페이지 이미지 생성/교체 완료,,아니오,3,검수필요,기존 검수값 유지,기존 검수값 유지,
ANC-4003,프릴블라우스 배색 원피스,,assets/products/ank/generated/ANC-4003/ANC-4003-full.jpg,아니오,2,전신컷,기존 생성컷,검수필요,승인,상세페이지 이미지 생성/교체 완료,,아니오,3,검수필요,기존 검수값 유지,기존 검수값 유지,
ANC-4003,프릴블라우스 배색 원피스,,assets/products/ank/generated/ANC-4003/ANC-4003-detail-board.jpg,아니오,3,상세 디테일 보드,기존 생성컷,검수필요,승인,상세페이지 이미지 생성/교체 완료,후면/측면은 원본 정보 부족으로 디테일 보드 대체. 사용자 품질 검수 필요,아니오,3,검수필요,기존 검수값 유지,기존 검수값 유지,
ANC-4003,프릴블라우스 배색 원피스,,assets/products/ank/generated/ANC-4003/ANC-4003-detail-neckline.jpg,아니오,4,넥라인 확대,기존 생성컷,검수필요,승인,상세페이지 이미지 생성/교체 완료,,아니오,3,검수필요,기존 검수값 유지,기존 검수값 유지,
ANC-4003,프릴블라우스 배색 원피스,,assets/products/ank/generated/ANC-4003/ANC-4003-detail-waist.jpg,아니오,5,허리/라인 확대,기존 생성컷,검수필요,승인,상세페이지 이미지 생성/교체 완료,,아니오,3,검수필요,기존 검수값 유지,기존 검수값 유지,
ANC-4003,프릴블라우스 배색 원피스,,assets/products/ank/generated/ANC-4003/ANC-4003-detail-hem.jpg,아니오,6,밑단 확대,기존 생성컷,검수필요,승인,상세페이지 이미지 생성/교체 완료,,아니오,3,검수필요,기존 검수값 유지,기존 검수값 유지,
ANC-4003,프릴블라우스 배색 원피스,,assets/products/ank/generated/ANC-4003/ANC-4003-detail-fabric.jpg,아니오,7,원단 확대,기존 생성컷,검수필요,승인,상세페이지 이미지 생성/교체 완료,,아니오,3,검수필요,기존 검수값 유지,기존 검수값 유지,
ANC-4003,프릴블라우스 배색 원피스,,assets/products/ank/generated/ANC-4003/ANC-4003-product-large.jpg,아니오,8,제품컷,기존 생성컷,검수필요,승인,상세페이지 이미지 생성/교체 완료,,아니오,3,검수필요,기존 검수값 유지,기존 검수값 유지,원본 보존
ANC-4004,세일러카라 플레어 원피스,assets/ANC-4004_01.jpg,assets/products/ank/generated/ANC-4004/ANC-4004-main.jpg,예,1,대표 쇼룸컷,original-based detail crop set,검수필요,수정,상세페이지 이미지 생성/교체 완료,,예,4,검수필요,기존 검수값 유지,기존 검수값 유지,
ANC-4004,세일러카라 플레어 원피스,,assets/products/ank/generated/ANC-4004/ANC-4004-full.jpg,아니오,2,전신컷,original-based detail crop set,검수필요,수정,상세페이지 이미지 생성/교체 완료,,예,4,검수필요,기존 검수값 유지,기존 검수값 유지,
ANC-4004,세일러카라 플레어 원피스,,assets/products/ank/generated/ANC-4004/ANC-4004-detail-board.jpg,아니오,3,상세 디테일 보드,original-based detail crop set,검수필요,수정,상세페이지 이미지 생성/교체 완료,후면/측면은 원본 정보 부족으로 디테일 보드 대체. 사용자 품질 검수 필요,예,4,검수필요,기존 검수값 유지,기존 검수값 유지,
ANC-4004,세일러카라 플레어 원피스,,assets/products/ank/generated/ANC-4004/ANC-4004-detail-neckline.jpg,아니오,4,넥라인 확대,original-based detail crop set,검수필요,수정,상세페이지 이미지 생성/교체 완료,,예,4,검수필요,기존 검수값 유지,기존 검수값 유지,
ANC-4004,세일러카라 플레어 원피스,,assets/products/ank/generated/ANC-4004/ANC-4004-detail-waist.jpg,아니오,5,허리/라인 확대,original-based detail crop set,검수필요,수정,상세페이지 이미지 생성/교체 완료,,예,4,검수필요,기존 검수값 유지,기존 검수값 유지,
ANC-4004,세일러카라 플레어 원피스,,assets/products/ank/generated/ANC-4004/ANC-4004-detail-hem.jpg,아니오,6,밑단 확대,original-based detail crop set,검수필요,수정,상세페이지 이미지 생성/교체 완료,,예,4,검수필요,기존 검수값 유지,기존 검수값 유지,
ANC-4004,세일러카라 플레어 원피스,,assets/products/ank/generated/ANC-4004/ANC-4004-detail-fabric.jpg,아니오,7,원단 확대,original-based detail crop set,검수필요,수정,상세페이지 이미지 생성/교체 완료,,예,4,검수필요,기존 검수값 유지,기존 검수값 유지,
ANC-4004,세일러카라 플레어 원피스,,assets/products/ank/generated/ANC-4004/ANC-4004-product.jpg,아니오,8,제품컷,original-based detail crop set,검수필요,수정,상세페이지 이미지 생성/교체 완료,,예,4,검수필요,기존 검수값 유지,기존 검수값 유지,
ANC-4004,세일러카라 플레어 원피스,,assets/ANC-4004_01.jpg,아니오,9,원본 보존컷,original-based detail crop set,검수필요,수정,상세페이지 이미지 생성/교체 완료,,예,4,검수필요,기존 검수값 유지,기존 검수값 유지,원본 보존
ANC-4005,오프숄더 러플 원피스,assets/ANC-4005_01.jpg,assets/products/ank/generated/ANC-4005/ANC-4005-main.jpg,예,1,대표 쇼룸컷,original-based detail crop set,검수필요,수정,상세페이지 이미지 생성/교체 완료,,예,5,검수필요,기존 검수값 유지,기존 검수값 유지,
ANC-4005,오프숄더 러플 원피스,,assets/products/ank/generated/ANC-4005/ANC-4005-full.jpg,아니오,2,전신컷,original-based detail crop set,검수필요,수정,상세페이지 이미지 생성/교체 완료,,예,5,검수필요,기존 검수값 유지,기존 검수값 유지,
ANC-4005,오프숄더 러플 원피스,,assets/products/ank/generated/ANC-4005/ANC-4005-detail-board.jpg,아니오,3,상세 디테일 보드,original-based detail crop set,검수필요,수정,상세페이지 이미지 생성/교체 완료,후면/측면은 원본 정보 부족으로 디테일 보드 대체. 사용자 품질 검수 필요,예,5,검수필요,기존 검수값 유지,기존 검수값 유지,
ANC-4005,오프숄더 러플 원피스,,assets/products/ank/generated/ANC-4005/ANC-4005-detail-neckline.jpg,아니오,4,넥라인 확대,original-based detail crop set,검수필요,수정,상세페이지 이미지 생성/교체 완료,,예,5,검수필요,기존 검수값 유지,기존 검수값 유지,
ANC-4005,오프숄더 러플 원피스,,assets/products/ank/generated/ANC-4005/ANC-4005-detail-waist.jpg,아니오,5,허리/라인 확대,original-based detail crop set,검수필요,수정,상세페이지 이미지 생성/교체 완료,,예,5,검수필요,기존 검수값 유지,기존 검수값 유지,
ANC-4005,오프숄더 러플 원피스,,assets/products/ank/generated/ANC-4005/ANC-4005-detail-hem.jpg,아니오,6,밑단 확대,original-based detail crop set,검수필요,수정,상세페이지 이미지 생성/교체 완료,,예,5,검수필요,기존 검수값 유지,기존 검수값 유지,
ANC-4005,오프숄더 러플 원피스,,assets/products/ank/generated/ANC-4005/ANC-4005-detail-fabric.jpg,아니오,7,원단 확대,original-based detail crop set,검수필요,수정,상세페이지 이미지 생성/교체 완료,,예,5,검수필요,기존 검수값 유지,기존 검수값 유지,
ANC-4005,오프숄더 러플 원피스,,assets/products/ank/generated/ANC-4005/ANC-4005-product.jpg,아니오,8,제품컷,original-based detail crop set,검수필요,수정,상세페이지 이미지 생성/교체 완료,,예,5,검수필요,기존 검수값 유지,기존 검수값 유지,
ANC-4005,오프숄더 러플 원피스,,assets/ANC-4005_01.jpg,아니오,9,원본 보존컷,original-based detail crop set,검수필요,수정,상세페이지 이미지 생성/교체 완료,,예,5,검수필요,기존 검수값 유지,기존 검수값 유지,원본 보존
ANC-4006,레이스숄더 플레어 원피스,assets/ANC-4006_01.jpg,assets/products/ank/generated/ANC-4006/ANC-4006-main.jpg,예,1,대표 쇼룸컷,original-based detail crop set,검수필요,수정,상세페이지 이미지 생성/교체 완료,,예,6,검수필요,기존 검수값 유지,기존 검수값 유지,
ANC-4006,레이스숄더 플레어 원피스,,assets/products/ank/generated/ANC-4006/ANC-4006-full.jpg,아니오,2,전신컷,original-based detail crop set,검수필요,수정,상세페이지 이미지 생성/교체 완료,,예,6,검수필요,기존 검수값 유지,기존 검수값 유지,
ANC-4006,레이스숄더 플레어 원피스,,assets/products/ank/generated/ANC-4006/ANC-4006-detail-board.jpg,아니오,3,상세 디테일 보드,original-based detail crop set,검수필요,수정,상세페이지 이미지 생성/교체 완료,후면/측면은 원본 정보 부족으로 디테일 보드 대체. 사용자 품질 검수 필요,예,6,검수필요,기존 검수값 유지,기존 검수값 유지,
