code,변경항목,기존값,제안값,변경사유,검수상태,승인여부,검수결과,수정필요사항,실물대조필요,우선검수순번,대표컷적합여부,A라인검수,슬림핏검수
ANC-4001,images,assets/products/ank/generated/ANC-4001/ANC-4001-main.jpg / assets/products/ank/generated/ANC-4001/ANC-4001-full.jpg / assets/products/ank/generated/ANC-4001/ANC-4001-front.jpg / assets/products/ank/generated/ANC-4001/ANC-4001-upper.jpg / assets/products/ank/generated/ANC-4001/ANC-4001-lower.jpg / assets/products/ank/generated/ANC-4001/ANC-4001-product.jpg / assets/products/ank/generated/ANC-4001/ANC-4001-detail-neckline.jpg / assets/products/ank/generated/ANC-4001/ANC-4001-detail-waist.jpg / assets/products/ank/generated/ANC-4001/ANC-4001-detail-hem.jpg / assets/products/ank/generated/ANC-4001/ANC-4001-detail-fabric.jpg / assets/products/ank/generated/ANC-4001/ANC-4001-detail-board.jpg / assets/ANC-4001_01.jpg,assets/products/ank/generated/ANC-4001/ANC-4001-main.jpg / assets/products/ank/generated/ANC-4001/ANC-4001-full.jpg / assets/products/ank/generated/ANC-4001/ANC-4001-front.jpg / assets/products/ank/generated/ANC-4001/ANC-4001-detail-board.jpg / assets/products/ank/generated/ANC-4001/ANC-4001-detail-neckline.jpg,생성컷/기존컷 순서 검수 필요,검수필요,수정,5컷 구성/태그 검수 필요,5번 제품컷 필요(현재 디테일컷); A라인 과잉 적용 여부 재검수,예,1,검수필요,재검수,적용후보
ANC-4001,tags/styleTags,NEW / 미니 원피스 컬렉션 / MINI / 미니 / 섹시 / 슬림 / 클럽 / 원피스 버튼 셔링 슬림글램 / 원피스 버튼 셔링 슬림글램,NEW / 미니 원피스 컬렉션 / MINI / 미니 / 섹시 / 슬림 / 클럽 / 원피스 버튼 셔링 슬림글램 / A라인 / 슬림핏 / 여성스러운핏 / 페미닌 / 라인감 / 셔링 / 미니원피스,A라인/슬림핏 검색 및 추천 키워드 노출 보강,검수필요,수정,5컷 구성/태그 검수 필요,5번 제품컷 필요(현재 디테일컷); A라인 과잉 적용 여부 재검수,예,1,검수필요,재검수,적용후보
ANC-4002,images,assets/ANC-4002_01.jpg,assets/products/ank/generated/ANC-4002/ANC-4002-main.jpg / assets/products/ank/generated/ANC-4002/ANC-4002-full.jpg / assets/products/ank/generated/ANC-4002/ANC-4002-side-or-back-confirm-needed.jpg / assets/products/ank/generated/ANC-4002/ANC-4002-detail.jpg / assets/products/ank/generated/ANC-4002/ANC-4002-product.jpg,5컷 미만. 쇼룸용 5컷 생성 후보,검수필요,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,2,검수필요,적용후보,재검수
ANC-4002,tags/styleTags,NEW / 미니 원피스 컬렉션 / MINI / 미니 / 데일리 / 러블리 / 플레어 / 원피스 플레어 배색 러블리데일리 / 원피스 플레어 배색 러블리데일리,NEW / 미니 원피스 컬렉션 / MINI / 미니 / 데일리 / 러블리 / 플레어 / 원피스 플레어 배색 러블리데일리 / A라인 / 슬림핏 / 여성스러운핏 / 페미닌 / 라인감 / 배색 / 미니원피스,A라인/슬림핏 검색 및 추천 키워드 노출 보강,검수필요,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,2,검수필요,적용후보,재검수
ANC-4003,images,assets/products/ank/generated/ANC-4003/ANC-4003-main-clean.jpg / assets/products/ank/generated/ANC-4003/ANC-4003-full.jpg / assets/products/ank/generated/ANC-4003/ANC-4003-detail-board.jpg / assets/products/ank/generated/ANC-4003/ANC-4003-detail-neckline.jpg / assets/products/ank/generated/ANC-4003/ANC-4003-detail-waist.jpg / assets/products/ank/generated/ANC-4003/ANC-4003-detail-hem.jpg / assets/products/ank/generated/ANC-4003/ANC-4003-detail-fabric.jpg / assets/products/ank/generated/ANC-4003/ANC-4003-product-large.jpg,assets/products/ank/generated/ANC-4003/ANC-4003-main-clean.jpg / assets/products/ank/generated/ANC-4003/ANC-4003-main.jpg / assets/products/ank/generated/ANC-4003/ANC-4003-full.jpg / assets/products/ank/generated/ANC-4003/ANC-4003-front.jpg / assets/products/ank/generated/ANC-4003/ANC-4003-detail-board.jpg,생성컷/기존컷 순서 검수 필요,검수필요,수정,5컷 구성/태그 검수 필요,2번 전신컷 필요(현재 메인컷); 3번 측면 또는 후면 필요(현재 전신컷); 4번 디테일컷 필요(현재 측면 또는 후면); 5번 제품컷 필요(현재 디테일컷); 슬림핏 과잉 적용 여부 재검수,예,3,검수필요,적용후보,재검수
ANC-4003,tags/styleTags,NEW / 미니 원피스 컬렉션 / MINI / 미니 / 데일리 / 러블리 / 플레어 / 원피스 프릴 배색 러블리데일리 / 원피스 프릴 배색 러블리데일리,NEW / 미니 원피스 컬렉션 / MINI / 미니 / 데일리 / 러블리 / 플레어 / 원피스 프릴 배색 러블리데일리 / A라인 / 슬림핏 / 여성스러운핏 / 페미닌 / 라인감 / 배색 / 프릴 / 미니원피스,A라인/슬림핏 검색 및 추천 키워드 노출 보강,검수필요,수정,5컷 구성/태그 검수 필요,2번 전신컷 필요(현재 메인컷); 3번 측면 또는 후면 필요(현재 전신컷); 4번 디테일컷 필요(현재 측면 또는 후면); 5번 제품컷 필요(현재 디테일컷); 슬림핏 과잉 적용 여부 재검수,예,3,검수필요,적용후보,재검수
ANC-4004,images,assets/ANC-4004_01.jpg,assets/products/ank/generated/ANC-4004/ANC-4004-main.jpg / assets/products/ank/generated/ANC-4004/ANC-4004-full.jpg / assets/products/ank/generated/ANC-4004/ANC-4004-side-or-back-confirm-needed.jpg / assets/products/ank/generated/ANC-4004/ANC-4004-detail.jpg / assets/products/ank/generated/ANC-4004/ANC-4004-product.jpg,5컷 미만. 쇼룸용 5컷 생성 후보,검수필요,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,4,검수필요,적용후보,재검수
ANC-4004,tags/styleTags,NEW / 미니 원피스 컬렉션 / MINI / 미니 / 데일리 / 러블리 / 플레어 / 원피스 카라 세일러카라 플레어 러블리데일리 / 원피스 카라 세일러카라 플레어 러블리데일리,NEW / 미니 원피스 컬렉션 / MINI / 미니 / 데일리 / 러블리 / 플레어 / 원피스 카라 세일러카라 플레어 러블리데일리 / A라인 / 슬림핏 / 여성스러운핏 / 페미닌 / 라인감 / 미니원피스,A라인/슬림핏 검색 및 추천 키워드 노출 보강,검수필요,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,4,검수필요,적용후보,재검수
ANC-4005,images,assets/ANC-4005_01.jpg,assets/products/ank/generated/ANC-4005/ANC-4005-main.jpg / assets/products/ank/generated/ANC-4005/ANC-4005-full.jpg / assets/products/ank/generated/ANC-4005/ANC-4005-side-or-back-confirm-needed.jpg / assets/products/ank/generated/ANC-4005/ANC-4005-detail.jpg / assets/products/ank/generated/ANC-4005/ANC-4005-product.jpg,5컷 미만. 쇼룸용 5컷 생성 후보,검수필요,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,5,검수필요,적용후보,재검수
ANC-4005,tags/styleTags,NEW / 미니 원피스 컬렉션 / MINI / 미니 / 데일리 / 러블리 / 플레어 / 원피스 오프숄더 러플 러블리데일리 / 원피스 오프숄더 러플 러블리데일리,NEW / 미니 원피스 컬렉션 / MINI / 미니 / 데일리 / 러블리 / 플레어 / 원피스 오프숄더 러플 러블리데일리 / A라인 / 슬림핏 / 여성스러운핏 / 페미닌 / 라인감 / 미니원피스,A라인/슬림핏 검색 및 추천 키워드 노출 보강,검수필요,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,5,검수필요,적용후보,재검수
