샘플순번,code,상품명,선정이유,현재이미지개수,대표이미지,제안대표이미지,현재태그,제안태그,승인여부,검수결과,수정필요사항,실물대조필요,우선검수순번,대표컷적합여부,A라인검수,슬림핏검수,A라인 검색노출확인,슬림핏 검색노출확인,추천키워드연결확인,비고
1,ANC-4001,버튼셔링 원피스,이미 생성컷 검수,12,assets/products/ank/generated/ANC-4001/ANC-4001-main.jpg,assets/products/ank/generated/ANC-4001/ANC-4001-main.jpg,NEW / 미니 원피스 컬렉션 / MINI / 미니 / 섹시 / 슬림 / 클럽 / 원피스 버튼 셔링 슬림글램 / 원피스 버튼 셔링 슬림글램,NEW / 미니 원피스 컬렉션 / MINI / 미니 / 섹시 / 슬림 / 클럽 / 원피스 버튼 셔링 슬림글램 / A라인 / 슬림핏 / 여성스러운핏 / 페미닌 / 라인감 / 셔링 / 미니원피스,수정,5컷 구성/태그 검수 필요,5번 제품컷 필요(현재 디테일컷); A라인 과잉 적용 여부 재검수,예,1,검수필요,재검수,적용후보,미확인,미확인,미확인,5번 제품컷 필요(현재 디테일컷); A라인 과잉 적용 여부 재검수
2,ANC-4002,배색스퀘어 플레어 원피스,원본 1컷 상품 대표 샘플,1,assets/ANC-4002_01.jpg,assets/products/ank/generated/ANC-4002/ANC-4002-main.jpg,NEW / 미니 원피스 컬렉션 / MINI / 미니 / 데일리 / 러블리 / 플레어 / 원피스 플레어 배색 러블리데일리 / 원피스 플레어 배색 러블리데일리,NEW / 미니 원피스 컬렉션 / MINI / 미니 / 데일리 / 러블리 / 플레어 / 원피스 플레어 배색 러블리데일리 / A라인 / 슬림핏 / 여성스러운핏 / 페미닌 / 라인감 / 배색 / 미니원피스,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,2,검수필요,적용후보,재검수,미확인,미확인,미확인,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수
3,ANC-4003,프릴블라우스 배색 원피스,이미 생성컷 검수,8,assets/products/ank/generated/ANC-4003/ANC-4003-main-clean.jpg,assets/products/ank/generated/ANC-4003/ANC-4003-main-clean.jpg,NEW / 미니 원피스 컬렉션 / MINI / 미니 / 데일리 / 러블리 / 플레어 / 원피스 프릴 배색 러블리데일리 / 원피스 프릴 배색 러블리데일리,NEW / 미니 원피스 컬렉션 / MINI / 미니 / 데일리 / 러블리 / 플레어 / 원피스 프릴 배색 러블리데일리 / A라인 / 슬림핏 / 여성스러운핏 / 페미닌 / 라인감 / 배색 / 프릴 / 미니원피스,수정,5컷 구성/태그 검수 필요,2번 전신컷 필요(현재 메인컷); 3번 측면 또는 후면 필요(현재 전신컷); 4번 디테일컷 필요(현재 측면 또는 후면); 5번 제품컷 필요(현재 디테일컷); 슬림핏 과잉 적용 여부 재검수,예,3,검수필요,적용후보,재검수,미확인,미확인,미확인,2번 전신컷 필요(현재 메인컷); 3번 측면 또는 후면 필요(현재 전신컷); 4번 디테일컷 필요(현재 측면 또는 후면); 5번 제품컷 필요(현재 디테일컷); 슬림핏 과잉 적용 여부 재검수
4,ANC-4004,세일러카라 플레어 원피스,원본 1컷 상품 대표 샘플,1,assets/ANC-4004_01.jpg,assets/products/ank/generated/ANC-4004/ANC-4004-main.jpg,NEW / 미니 원피스 컬렉션 / MINI / 미니 / 데일리 / 러블리 / 플레어 / 원피스 카라 세일러카라 플레어 러블리데일리 / 원피스 카라 세일러카라 플레어 러블리데일리,NEW / 미니 원피스 컬렉션 / MINI / 미니 / 데일리 / 러블리 / 플레어 / 원피스 카라 세일러카라 플레어 러블리데일리 / A라인 / 슬림핏 / 여성스러운핏 / 페미닌 / 라인감 / 미니원피스,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,4,검수필요,적용후보,재검수,미확인,미확인,미확인,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수
5,ANC-4020,블라우스배색 플레어 원피스,이미 생성컷 검수,12,assets/products/ank/generated/ANC-4020/ANC-4020-main.jpg,assets/products/ank/generated/ANC-4020/ANC-4020-main.jpg,NEW / 미니 원피스 컬렉션 / MINI / 미니 / 데일리 / 러블리 / 플레어 / 원피스 플레어 배색 러블리데일리 / 원피스 플레어 배색 러블리데일리,NEW / 미니 원피스 컬렉션 / MINI / 미니 / 데일리 / 러블리 / 플레어 / 원피스 플레어 배색 러블리데일리 / A라인 / 슬림핏 / 여성스러운핏 / 페미닌 / 라인감 / 배색 / 미니원피스,수정,5컷 구성/태그 검수 필요,5번 제품컷 필요(현재 디테일컷); 슬림핏 과잉 적용 여부 재검수,예,20,검수필요,적용후보,재검수,미확인,미확인,미확인,5번 제품컷 필요(현재 디테일컷); 슬림핏 과잉 적용 여부 재검수
6,ANC-4030,레이스숄더 플레어 원피스,원본 1컷 상품 대표 샘플,1,assets/ANC-4030_01.jpg,assets/products/ank/generated/ANC-4030/ANC-4030-main.jpg,NEW / 미니 원피스 컬렉션 / MINI / 미니 / 데일리 / 러블리 / 플레어 / 원피스 레이스 플레어 러블리데일리 / 원피스 레이스 플레어 러블리데일리,NEW / 미니 원피스 컬렉션 / MINI / 미니 / 데일리 / 러블리 / 플레어 / 원피스 레이스 플레어 러블리데일리 / A라인 / 슬림핏 / 여성스러운핏 / 페미닌 / 라인감 / 미니원피스,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,30,검수필요,적용후보,재검수,미확인,미확인,미확인,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수
7,ANC-4050,레이스헴 플레어 원피스,원본 1컷 상품 대표 샘플,1,assets/ANC-4050_01.jpg,assets/products/ank/generated/ANC-4050/ANC-4050-main.jpg,NEW / 미니 원피스 컬렉션 / MINI / 미니 / 데일리 / 러블리 / 플레어 / 원피스 레이스 플레어 러블리데일리 / 원피스 레이스 플레어 러블리데일리,NEW / 미니 원피스 컬렉션 / MINI / 미니 / 데일리 / 러블리 / 플레어 / 원피스 레이스 플레어 러블리데일리 / A라인 / 슬림핏 / 여성스러운핏 / 페미닌 / 라인감 / 미니원피스,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,50,검수필요,적용후보,재검수,미확인,미확인,미확인,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수
8,ANC-4072,플라워레이스 플레어 원피스,원본 1컷 상품 대표 샘플,1,assets/ANC-4072_01.jpg,assets/products/ank/generated/ANC-4072/ANC-4072-main.jpg,NEW / 미니 원피스 컬렉션 / MINI / 미니 / 데일리 / 러블리 / 플레어 / 원피스 레이스 플레어 러블리데일리 / 원피스 레이스 플레어 러블리데일리,NEW / 미니 원피스 컬렉션 / MINI / 미니 / 데일리 / 러블리 / 플레어 / 원피스 레이스 플레어 러블리데일리 / A라인 / 슬림핏 / 여성스러운핏 / 페미닌 / 라인감 / 미니원피스,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,72,검수필요,적용후보,재검수,미확인,미확인,미확인,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수
9,ANC-4081,셔츠버튼 원피스,원본 1컷 상품 대표 샘플,1,assets/ANC-4081_01.jpg,assets/products/ank/generated/ANC-4081/ANC-4081-main.jpg,NEW / 미니 원피스 컬렉션 / MINI / 미니 / 데일리 / 러블리 / 플레어 / 원피스 버튼 데일리페미닌 / 원피스 버튼 데일리페미닌,NEW / 미니 원피스 컬렉션 / MINI / 미니 / 데일리 / 러블리 / 플레어 / 원피스 버튼 데일리페미닌 / A라인 / 슬림핏 / 여성스러운핏 / 페미닌 / 라인감 / 미니원피스,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,81,검수필요,적용후보,재검수,미확인,미확인,미확인,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수
10,ANC-4098,퍼프소매 플레어 원피스,원본 1컷 상품 대표 샘플,1,assets/ANC-4098_01.jpg,assets/products/ank/generated/ANC-4098/ANC-4098-main.jpg,NEW / 미니 원피스 컬렉션 / MINI / 미니 / 데일리 / 러블리 / 플레어 / 원피스 퍼프소매 플레어 러블리데일리 / 원피스 퍼프소매 플레어 러블리데일리,NEW / 미니 원피스 컬렉션 / MINI / 미니 / 데일리 / 러블리 / 플레어 / 원피스 퍼프소매 플레어 러블리데일리 / A라인 / 슬림핏 / 여성스러운핏 / 페미닌 / 라인감 / 미니원피스,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,98,검수필요,적용후보,재검수,미확인,미확인,미확인,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수
