code,상품명,거래처/브랜드,현재이미지유무,현재이미지개수,원본폴더명,현재카테고리,현재색상,현재사이즈,승인여부,검수결과,수정필요사항,실물대조필요,우선검수순번,대표컷적합여부,A라인검수,슬림핏검수,비고
ANC-4001,버튼셔링 원피스,앙크최,있음,12,ANC-4001,MINI,그린,55 / 66 / 77,수정,5컷 구성/태그 검수 필요,5번 제품컷 필요(현재 디테일컷); A라인 과잉 적용 여부 재검수,예,1,검수필요,재검수,적용후보,생성컷/기존컷 순서 검수 필요
ANC-4002,배색스퀘어 플레어 원피스,앙크최,있음,1,ANC-4002,MINI,화이트+블랙,55 / 66 / 77,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,2,검수필요,적용후보,재검수,5컷 미만. 쇼룸용 5컷 생성 후보
ANC-4003,프릴블라우스 배색 원피스,앙크최,있음,8,ANC-4003,MINI,화이트+블랙,55 / 66 / 77,수정,5컷 구성/태그 검수 필요,2번 전신컷 필요(현재 메인컷); 3번 측면 또는 후면 필요(현재 전신컷); 4번 디테일컷 필요(현재 측면 또는 후면); 5번 제품컷 필요(현재 디테일컷); 슬림핏 과잉 적용 여부 재검수,예,3,검수필요,적용후보,재검수,생성컷/기존컷 순서 검수 필요
ANC-4004,세일러카라 플레어 원피스,앙크최,있음,1,ANC-4004,MINI,블루,55 / 66 / 77,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,4,검수필요,적용후보,재검수,5컷 미만. 쇼룸용 5컷 생성 후보
ANC-4005,오프숄더 러플 원피스,앙크최,있음,1,ANC-4005,MINI,레드,55 / 66 / 77,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,5,검수필요,적용후보,재검수,5컷 미만. 쇼룸용 5컷 생성 후보
ANC-4006,레이스숄더 플레어 원피스,앙크최,있음,1,ANC-4006,MINI,블랙,55 / 66 / 77,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,6,검수필요,적용후보,재검수,5컷 미만. 쇼룸용 5컷 생성 후보
ANC-4007,체크셔링 원피스,앙크최,있음,1,ANC-4007,MINI,체크그레이,55 / 66 / 77,승인,사용자 검수 반영: 슬림핏 확정,슬림핏 적용후보 승인,아니오,7,검수필요,적용후보,승인,5컷 미만. 쇼룸용 5컷 생성 후보 / 사용자 지정 코드 슬림핏 확정
ANC-4008,펀칭레이스 플레어 원피스,앙크최,있음,1,ANC-4008,MINI,화이트,55 / 66 / 77,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,8,검수필요,적용후보,재검수,5컷 미만. 쇼룸용 5컷 생성 후보
ANC-4009,랩셔링 원피스,앙크최,있음,1,ANC-4009,MINI,옐로우,55 / 66 / 77,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; A라인 과잉 적용 여부 재검수,예,9,검수필요,재검수,적용후보,5컷 미만. 쇼룸용 5컷 생성 후보
ANC-4010,스트라이프 플레어 원피스,앙크최,있음,1,ANC-4010,MINI,블랙스트라이프,55 / 66 / 77,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,10,검수필요,적용후보,재검수,5컷 미만. 쇼룸용 5컷 생성 후보
ANC-4011,드레이프셔링 원피스,앙크최,있음,1,ANC-4011,MINI,베이지,55 / 66 / 77,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; A라인 과잉 적용 여부 재검수,예,11,검수필요,재검수,적용후보,5컷 미만. 쇼룸용 5컷 생성 후보
ANC-4012,더블버튼 플레어 원피스,앙크최,있음,1,ANC-4012,MINI,블랙,55 / 66 / 77,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,12,검수필요,적용후보,재검수,5컷 미만. 쇼룸용 5컷 생성 후보
ANC-4013,리본블라우스 셔링 원피스,앙크최,있음,1,ANC-4013,MINI,화이트+레드,55 / 66 / 77,승인,사용자 검수 반영: 슬림핏 확정,슬림핏 적용후보 승인,아니오,13,검수필요,적용후보,승인,5컷 미만. 쇼룸용 5컷 생성 후보 / 사용자 지정 코드 슬림핏 확정
ANC-4014,더블버튼 레이스 원피스,앙크최,있음,1,ANC-4014,MINI,블랙,55 / 66 / 77,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,14,검수필요,적용후보,재검수,5컷 미만. 쇼룸용 5컷 생성 후보
ANC-4015,랩카라 셔링 원피스,앙크최,있음,1,ANC-4015,MINI,블루,55 / 66 / 77,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; A라인 과잉 적용 여부 재검수,예,15,검수필요,재검수,적용후보,5컷 미만. 쇼룸용 5컷 생성 후보
ANC-4016,스트라이프니트 플레어 원피스,앙크최,있음,1,ANC-4016,MINI,화이트+블랙,55 / 66 / 77,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,16,검수필요,적용후보,재검수,5컷 미만. 쇼룸용 5컷 생성 후보
ANC-4017,레이스시스루 셔링 원피스,앙크최,있음,1,ANC-4017,MINI,핑크베이지,55 / 66 / 77,승인,사용자 검수 반영: 슬림핏 확정,슬림핏 적용후보 승인,아니오,17,검수필요,적용후보,승인,5컷 미만. 쇼룸용 5컷 생성 후보 / 사용자 지정 코드 슬림핏 확정
ANC-4018,숄더포인트 플레어 원피스,앙크최,있음,1,ANC-4018,MINI,블랙,55 / 66 / 77,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; 슬림핏 과잉 적용 여부 재검수,예,18,검수필요,적용후보,재검수,5컷 미만. 쇼룸용 5컷 생성 후보
ANC-4019,드레이프셔링 원피스,앙크최,있음,1,ANC-4019,MINI,옐로우,55 / 66 / 77,수정,5컷 구성/태그 검수 필요,쇼룸용 5컷 생성 필요; A라인 과잉 적용 여부 재검수,예,19,검수필요,재검수,적용후보,5컷 미만. 쇼룸용 5컷 생성 후보
