code,현재상품명,거래처명,원본이미지경로,원본이미지수,샘플선정여부
ANC-4001,버튼셔링 원피스,앙크최,assets/ANC-4001_01.jpg,1,Y
ANC-4002,배색스퀘어 플레어 원피스,앙크최,assets/ANC-4002_01.jpg,1,
ANC-4003,프릴블라우스 배색 원피스,앙크최,assets/ANC-4003_01.jpg,1,Y
ANC-4004,세일러카라 플레어 원피스,앙크최,assets/ANC-4004_01.jpg,1,
ANC-4005,오프숄더 러플 원피스,앙크최,assets/ANC-4005_01.jpg,1,
ANC-4006,레이스숄더 플레어 원피스,앙크최,assets/ANC-4006_01.jpg,1,
ANC-4007,체크셔링 원피스,앙크최,assets/ANC-4007_01.jpg,1,
ANC-4008,펀칭레이스 플레어 원피스,앙크최,assets/ANC-4008_01.jpg,1,
ANC-4009,랩셔링 원피스,앙크최,assets/ANC-4009_01.jpg,1,
ANC-4010,스트라이프 플레어 원피스,앙크최,assets/ANC-4010_01.jpg,1,
ANC-4011,드레이프셔링 원피스,앙크최,assets/ANC-4011_01.jpg,1,
ANC-4012,더블버튼 플레어 원피스,앙크최,assets/ANC-4012_01.jpg,1,
ANC-4013,리본블라우스 셔링 원피스,앙크최,assets/ANC-4013_01.jpg,1,
ANC-4014,더블버튼 레이스 원피스,앙크최,assets/ANC-4014_01.jpg,1,
ANC-4015,랩카라 셔링 원피스,앙크최,assets/ANC-4015_01.jpg,1,
ANC-4016,스트라이프니트 플레어 원피스,앙크최,assets/ANC-4016_01.jpg,1,
ANC-4017,레이스시스루 셔링 원피스,앙크최,assets/ANC-4017_01.jpg,1,
ANC-4018,숄더포인트 플레어 원피스,앙크최,assets/ANC-4018_01.jpg,1,
ANC-4019,드레이프셔링 원피스,앙크최,assets/ANC-4019_01.jpg,1,
ANC-4020,블라우스배색 플레어 원피스,앙크최,assets/ANC-4020_01.jpg,1,Y
ANC-4021,랩포인트 셔링 원피스,앙크최,assets/ANC-4021_01.jpg,1,
ANC-4022,스퀘어넥 버튼 플레어 원피스,앙크최,assets/ANC-4022_01.jpg,1,
ANC-4023,러플숄더 셔링 원피스,앙크최,assets/ANC-4023_01.jpg,1,
ANC-4024,빅리본 플레어 원피스,앙크최,assets/ANC-4024_01.jpg,1,
ANC-4025,셔츠카라 랩스커트 원피스,앙크최,assets/ANC-4025_01.jpg,1,
ANC-4026,더블버튼 플레어 원피스,앙크최,assets/ANC-4026_01.jpg,1,
ANC-4027,프릴숄더 셔링 원피스,앙크최,assets/ANC-4027_01.jpg,1,
ANC-4028,배색라인 플레어 원피스,앙크최,assets/ANC-4028_01.jpg,1,
ANC-4029,스트라이프 리본 원피스,앙크최,assets/ANC-4029_01.jpg,1,
ANC-4030,레이스숄더 플레어 원피스,앙크최,assets/ANC-4030_01.jpg,1,
ANC-4031,사이드드레이프 언발 원피스,앙크최,assets/ANC-4031_01.jpg,1,
ANC-4032,레이스플레어 원피스,앙크최,assets/ANC-4032_01.jpg,1,
ANC-4033,스퀘어넥 버튼 원피스,앙크최,assets/ANC-4033_01.jpg,1,
ANC-4034,프릴라인 플레어 원피스,앙크최,assets/ANC-4034_01.jpg,1,
ANC-4035,오프숄더 리본 원피스,앙크최,assets/ANC-4035_01.jpg,1,
ANC-4036,카라버튼 플레어 원피스,앙크최,assets/ANC-4036_01.jpg,1,
ANC-4037,리본블라우스 배색 원피스,앙크최,assets/ANC-4037_01.jpg,1,
ANC-4038,체크버튼 플레어 원피스,앙크최,assets/ANC-4038_01.jpg,1,
ANC-4039,배색플레어 원피스,앙크최,assets/ANC-4039_01.jpg,1,
ANC-4040,오프숄더 드레이프 원피스,앙크최,assets/ANC-4040_01.jpg,1,
ANC-4041,레이스블라우스 셔링 원피스,앙크최,assets/ANC-4041_01.jpg,1,
ANC-4042,셔츠카라 플레어 원피스,앙크최,assets/ANC-4042_01.jpg,1,
ANC-4043,레이스브이넥 셔링 원피스,앙크최,assets/ANC-4043_01.jpg,1,
ANC-4044,레이스라인 플레어 원피스,앙크최,assets/ANC-4044_01.jpg,1,
ANC-4045,카울넥 드레이프 원피스,앙크최,assets/ANC-4045_01.jpg,1,
ANC-4046,레이스백 셔링 원피스,앙크최,assets/ANC-4046_01.jpg,1,
ANC-4047,셔링리본 플레어 원피스,앙크최,assets/ANC-4047_01.jpg,1,
ANC-4048,배색카라 트임 원피스,앙크최,assets/ANC-4048_01.jpg,1,
ANC-4049,랩셔링 원피스,앙크최,assets/ANC-4049_01.jpg,1,
ANC-4050,레이스헴 플레어 원피스,앙크최,assets/ANC-4050_01.jpg,1,
ANC-4051,스퀘어넥 셔링 원피스,앙크최,assets/ANC-4051_01.jpg,1,
ANC-4052,레이스플레어 원피스,앙크최,assets/ANC-4052_01.jpg,1,
ANC-4053,러플숄더 원피스,앙크최,assets/ANC-4053_01.jpg,1,
ANC-4054,더블버튼 플레어 원피스,앙크최,assets/ANC-4054_01.jpg,1,
ANC-4055,오프숄더 셔링 원피스,앙크최,assets/ANC-4055_01.jpg,1,
ANC-4056,빅리본 플레어 원피스,앙크최,assets/ANC-4056_01.jpg,1,
ANC-4057,잔셔링 원피스,앙크최,assets/ANC-4057_01.jpg,1,
ANC-4058,더블버튼 플레어 원피스,앙크최,assets/ANC-4058_01.jpg,1,
ANC-4059,오프숄더 셔링 원피스,앙크최,assets/ANC-4059_01.jpg,1,
ANC-4060,레이스숄더 플레어 원피스,앙크최,assets/ANC-4060_01.jpg,1,
ANC-4061,스트라이프 셔링 원피스,앙크최,assets/ANC-4061_01.jpg,1,
ANC-4062,레이스브이넥 플레어 원피스,앙크최,assets/ANC-4062_01.jpg,1,
ANC-4063,셔링카라 원피스,앙크최,assets/ANC-4063_01.jpg,1,
ANC-4064,하트버튼 플레어 원피스,앙크최,assets/ANC-4064_01.jpg,1,
ANC-4065,레이스백 러플 원피스,앙크최,assets/ANC-4065_01.jpg,1,
ANC-4066,배색라인 플레어 원피스,앙크최,assets/ANC-4066_01.jpg,1,
ANC-4067,빅리본 셔링 원피스,앙크최,assets/ANC-4067_01.jpg,1,
ANC-4068,리본셔링 플레어 원피스,앙크최,assets/ANC-4068_01.jpg,1,
ANC-4069,랩셔링 스커트 원피스,앙크최,assets/ANC-4069_01.jpg,1,
ANC-4070,도트플레어 원피스,앙크최,assets/ANC-4070_01.jpg,1,
ANC-4071,셔츠카라 랩스커트 원피스,앙크최,assets/ANC-4071_01.jpg,1,
ANC-4072,플라워레이스 플레어 원피스,앙크최,assets/ANC-4072_01.jpg,1,
ANC-4073,드레이프셔링 원피스,앙크최,assets/ANC-4073_01.jpg,1,
ANC-4074,레이스칼라 플레어 원피스,앙크최,assets/ANC-4074_01.jpg,1,
ANC-4075,오프숄더 버튼 플레어 원피스,앙크최,assets/ANC-4075_01.jpg,1,
ANC-4076,스퀘어넥 플레어 원피스,앙크최,assets/ANC-4076_01.jpg,1,
ANC-4077,더블버튼 셔링 원피스,앙크최,assets/ANC-4077_01.jpg,1,
ANC-4078,배색라인 플레어 원피스,앙크최,assets/ANC-4078_01.jpg,1,
ANC-4079,버튼셔링 원피스,앙크최,assets/ANC-4079_01.jpg,1,
ANC-4080,레이스블라우스 셔링 원피스,앙크최,assets/ANC-4080_01.jpg,1,
ANC-4081,셔츠버튼 원피스,앙크최,assets/ANC-4081_01.jpg,1,
ANC-4082,더블버튼 플레어 원피스,앙크최,assets/ANC-4082_01.jpg,1,
ANC-4083,랩러플 셔링 원피스,앙크최,assets/ANC-4083_01.jpg,1,
ANC-4084,벨트포인트 플레어 원피스,앙크최,assets/ANC-4084_01.jpg,1,
ANC-4085,레이스블라우스 셔링 원피스,앙크최,assets/ANC-4085_01.jpg,1,
ANC-4086,빅리본 플레어 원피스,앙크최,assets/ANC-4086_01.jpg,1,
ANC-4087,랩카라 셔링 원피스,앙크최,assets/ANC-4087_01.jpg,1,
ANC-4088,퍼프소매 버튼 플레어 원피스,앙크최,assets/ANC-4088_01.jpg,1,
ANC-4089,레이스블라우스 셔링 원피스,앙크최,assets/ANC-4089_01.jpg,1,
ANC-4090,리본스트랩 플레어 원피스,앙크최,assets/ANC-4090_01.jpg,1,
ANC-4091,베스트버튼 셔링 원피스,앙크최,assets/ANC-4091_01.jpg,1,
ANC-4092,스트라이프뷔스티에 플레어 원피스,앙크최,assets/ANC-4092_01.jpg,1,
ANC-4093,스퀘어넥 포켓 원피스,앙크최,assets/ANC-4093_01.jpg,1,
ANC-4094,버튼 플레어 원피스,앙크최,assets/ANC-4094_01.jpg,1,
ANC-4095,잔셔링 원피스,앙크최,assets/ANC-4095_01.jpg,1,
ANC-4096,배색카라 플레어 원피스,앙크최,assets/ANC-4096_01.jpg,1,
ANC-4097,스트라이프 니트 원피스,앙크최,assets/ANC-4097_01.jpg,1,
ANC-4098,퍼프소매 플레어 원피스,앙크최,assets/ANC-4098_01.jpg,1,
