code,vendorCode,supplier,name,category,color,size,imageCount,mainImage,unknownCutCount,sourceProductCutFirst,folder
GRA-S795,S795,그레이스,7월 신상 원피스,MINI,아이,S / M / L,8,assets/july10/grace/GRA-S795_01.jpg,0,True,7월 10일 신제품  사진/그레이스/S795번(아이_SML)
GRA-S796,S796,그레이스,7월 신상 원피스,MINI,핑크,S / M / L,8,assets/july10/grace/GRA-S796_01.jpg,1,False,7월 10일 신제품  사진/그레이스/S796번(핑크_SML)
GRA-S797,S797,그레이스,7월 신상 원피스,MINI,블루,S / M / L,8,assets/july10/grace/GRA-S797_01.jpg,0,True,7월 10일 신제품  사진/그레이스/S797번(블루_SML)
GRA-S798,S798,그레이스,7월 신상 원피스,MINI,화이트,S / M / L,9,assets/july10/grace/GRA-S798_01.jpg,1,True,7월 10일 신제품  사진/그레이스/S798번(화이트_SML)
SEY-S820,S820,세윤,투피스,TWO PIECE,아이,S / M / L,9,assets/july10/seyoon/SEY-S820_01.jpg,0,True,7월 10일 신제품  사진/세윤/S820번 투피스(아이_SML)
SEY-S821,S821,세윤,투피스,TWO PIECE,옐로우,S / M / L,9,assets/july10/seyoon/SEY-S821_01.jpg,2,True,7월 10일 신제품  사진/세윤/S821번 투피스(옐로우_SML)
SEY-S822,S822,세윤,7월 신상 원피스,MINI,아이,S / M / L,8,assets/july10/seyoon/SEY-S822_01.jpg,0,True,7월 10일 신제품  사진/세윤/S822번(아이_SML)
SEY-S823,S823,세윤,7월 신상 원피스,MINI,블랙,S / M / L,8,assets/july10/seyoon/SEY-S823_01.jpg,0,True,7월 10일 신제품  사진/세윤/S823번(블랙_SML)
SEY-S824,S824,세윤,7월 신상 원피스,MINI,아이,S / M / L,8,assets/july10/seyoon/SEY-S824_01.jpg,0,True,7월 10일 신제품  사진/세윤/S824번(아이_SML)
SEY-S825,S825,세윤,7월 신상 원피스,MINI,블랙,S / M / L,9,assets/july10/seyoon/SEY-S825_01.jpg,0,True,7월 10일 신제품  사진/세윤/S825번(블랙_SML)
SUN-S791,S791,써니,7월 신상 원피스,MINI,아이,S / M / L,8,assets/july10/sunny/SUN-S791_01.jpg,0,True,7월 10일 신제품  사진/써니/S791번(아이_SML)
SUN-S792,S792,써니,7월 신상 원피스,MINI,핑크,S / M / L,8,assets/july10/sunny/SUN-S792_01.jpg,0,True,7월 10일 신제품  사진/써니/S792번(핑크_SML)
SUN-S793,S793,써니,7월 신상 원피스,MINI,아이,S / M / L,8,assets/july10/sunny/SUN-S793_01.jpg,0,True,7월 10일 신제품  사진/써니/S793번(아이_SML)
SUN-S794,S794,써니,7월 신상 원피스,MINI,블랙,S / M / L,8,assets/july10/sunny/SUN-S794_01.jpg,1,False,7월 10일 신제품  사진/써니/S794번(블랙_SML)
YES-S826,S826,예스,투피스,TWO PIECE,아이,S / M / L,8,assets/july10/yes/YES-S826_01.jpg,0,True,7월 10일 신제품  사진/예스/S826번 투피스(아이_SML)
YES-S827,S827,예스,투피스,TWO PIECE,핑크,S / M / L,8,assets/july10/yes/YES-S827_01.jpg,1,True,7월 10일 신제품  사진/예스/S827번 투피스(핑크_SML)
