입력코드,반영코드,상품명,상태
P010,P010,아리아 플라워 슬림 미디원피스,반영
TIA-S861,TIA-S861,오렌지 플라워 쉬폰 캉캉 롱드레스,반영
TIA-S928,TIA-S928,체인 프린트 나시탑 세트,반영
TIA-S929,TIA-S929,체인 프린트 나시탑 세트,반영
TIA-S930,TIA-S930,도트 프린트 나시탑 세트,반영
GRA-S798,GRA-S798,플라워홀터 플레어 원피스,반영
IMN-S836,IMN-S836,플라워쉬폰 언발 원피스,반영
IMN-S837,IMN-S837,플라워쉬폰 언발 원피스,반영
TIA-S758,TIA-S758,스카프패턴 숄블라우스,반영
S683,S683,패턴리본 플레어 원피스,반영
S684,S684,패턴리본 플레어 원피스,반영
S706,S706,크로스홀터 플레어 롱원피스,반영
S707,S707,크로스홀터 플레어 롱원피스,반영
S708,S708,크로스홀터 플레어 롱원피스,반영
S717,S717,페이즐리홀터 롱원피스,반영
S718,S718,페이즐리홀터 롱원피스,반영
S721,S721,페이즐리홀터 플레어 투피스,반영
S722,S722,페이즐리홀터 플레어 투피스,반영
ANC-4070,ANC-4070,도트플레어 원피스,반영
ANC-4072,ANC-4072,플라워레이스 플레어 원피스,반영
ANC-4085,ANC-4085,레이스블라우스 셔링 원피스,반영
ANC-4089,ANC-4089,레이스블라우스 셔링 원피스,반영
N260189,N260189,포인트 미디 드레스,반영
N260196,N260196,샹드리에 포인트 스커트,반영
N160200,N260200,이중 레이스 훌 블라우스,N160200 입력값은 쇼룸에 없어 N260200로 보정 반영
N260203,N260203,캔디 원피스,반영
N260219,N260219,모네 프린트 여름 원피스,반영
N260220,N260220,잔꽃 자수 스퀘어넥 원피스,반영
P006,P006,로제 플라워 카라 플레어 미니원피스,반영
P025,P025,로제 리본플라워 오프숄더 미니원피스,반영
P032,P032,엘린 플라워쉬폰 미니원피스,반영
P033,P033,로아 플라워퍼프 미니원피스,반영
N260053,N260053,레드꽃무늬 H라인 미디드레스,반영
N260054,N260054,블루꽃무늬 H라인 미디드레스,반영
