대표검색어,동의어/확장어,검색범위
언발런스,"언발란스, 언발, 비대칭, asymmetric",상품명/상세설명/포인트/태그/스타일태그/검색키워드
홀터넥,"홀터, halter",상품명/상세설명/포인트/태그/스타일태그/검색키워드
미디,"미디원피스, midi",상품명/상세설명/포인트/태그/스타일태그/검색키워드
미니,"미니원피스, mini",상품명/상세설명/포인트/태그/스타일태그/검색키워드
드레이프,"드레이핑, drape",상품명/상세설명/포인트/태그/스타일태그/검색키워드
레이스,lace,상품명/상세설명/포인트/태그/스타일태그/검색키워드
자수,embroidery,상품명/상세설명/포인트/태그/스타일태그/검색키워드
오프숄더,"오프숄, off-shoulder",상품명/상세설명/포인트/태그/스타일태그/검색키워드
원숄더,one-shoulder,상품명/상세설명/포인트/태그/스타일태그/검색키워드
시스루,"sheer, see-through",상품명/상세설명/포인트/태그/스타일태그/검색키워드
트위드,tweed,상품명/상세설명/포인트/태그/스타일태그/검색키워드
머메이드,mermaid,상품명/상세설명/포인트/태그/스타일태그/검색키워드
플레어,"플레어핏, flare",상품명/상세설명/포인트/태그/스타일태그/검색키워드
A라인,"에이라인, a-line",상품명/상세설명/포인트/태그/스타일태그/검색키워드
H라인,"에이치라인, h-line",상품명/상세설명/포인트/태그/스타일태그/검색키워드
캉캉,"캉캉스커트, tiered",상품명/상세설명/포인트/태그/스타일태그/검색키워드
프릴,"러플, frill, ruffle",상품명/상세설명/포인트/태그/스타일태그/검색키워드
리본,"ribbon, bow",상품명/상세설명/포인트/태그/스타일태그/검색키워드
셔링,shirring,상품명/상세설명/포인트/태그/스타일태그/검색키워드
슬릿,"트임, slit",상품명/상세설명/포인트/태그/스타일태그/검색키워드
브이넥,"V넥, v-neck",상품명/상세설명/포인트/태그/스타일태그/검색키워드
스퀘어넥,square neck,상품명/상세설명/포인트/태그/스타일태그/검색키워드
카라,collar,상품명/상세설명/포인트/태그/스타일태그/검색키워드
버튼,"단추, button",상품명/상세설명/포인트/태그/스타일태그/검색키워드
체인,chain,상품명/상세설명/포인트/태그/스타일태그/검색키워드
비즈,"큐빅, 스톤, beaded, cubic",상품명/상세설명/포인트/태그/스타일태그/검색키워드
펄,"진주, pearl",상품명/상세설명/포인트/태그/스타일태그/검색키워드
코르셋,corset,상품명/상세설명/포인트/태그/스타일태그/검색키워드
홀,"컷아웃, cutout",상품명/상세설명/포인트/태그/스타일태그/검색키워드
망사,mesh,상품명/상세설명/포인트/태그/스타일태그/검색키워드
새틴,satin,상품명/상세설명/포인트/태그/스타일태그/검색키워드
니트,knit,상품명/상세설명/포인트/태그/스타일태그/검색키워드
쉬폰,chiffon,상품명/상세설명/포인트/태그/스타일태그/검색키워드
가죽,"레더, leather",상품명/상세설명/포인트/태그/스타일태그/검색키워드
벨트,belt,상품명/상세설명/포인트/태그/스타일태그/검색키워드
브로치,brooch,상품명/상세설명/포인트/태그/스타일태그/검색키워드
플리츠,"주름, pleated",상품명/상세설명/포인트/태그/스타일태그/검색키워드
