상품코드,거래처코드,공개상품명,원본제품설명,내부가격/원산지메모,스마트스토어 원산지 체크,내부비고
TIA-S856,S856,핀턱 나시탑,가슴핀턱나시 크림 검 sm,수입 40000,수입확인필요,
TIA-S857,S857,매듭 플라워 나시탑,매듭꽃나시 아검 sm,수입 40000,수입확인필요,
TIA-S858,S858,몽환 레이스 블라우스,몽환블라 크림 sm,수입 35000,수입확인필요,
TIA-S859,S859,플라워 미니 스커트,뚜쥬흐스커트 네이비 검정 sm,수입 30000,수입확인필요,
TIA-S860,S860,에어리 벨트 원피스,에어리원피스 블랙 벨트셋트 sm,수입 40000,수입확인필요,
TIA-S861,S861,릴리 블라썸 원피스,릴리블라썸원피스 노랑 sm,수입 58000,수입확인필요,휴양지룩으로도 손색이 없습니다 컬러는 노랑에 가깝습니다
TIA-S862,S862,나비 초커 원피스,나비초커원피스 크림 블랙 sm,수입 42000,수입확인필요,
TIA-S863,S863,나비 초커 원피스,나비초커원피스 크림 블랙 sm,수입 42000,수입확인필요,
TIA-S864,S864,클린 레이스 투피스,클린투피스 아검 프리,수입 40000,수입확인필요,
TIA-S865,S865,클린 레이스 투피스,클린투피스 아검 프리,수입 40000,수입확인필요,
TIA-S866,S866,님버스 투피스,님버스투피스 크림 sm,수입 85000,수입확인필요,
TIA-S867,S867,드레이핑 원피스,메신져윈피스 차콜그레이 sm,수입 30000,수입확인필요,
TIA-S868,S868,노아 드레이핑 원피스,노아드레이핑원피스 아검 sm,,확인필요,
TIA-S869,S869,노아 드레이핑 원피스,노아드레이핑원피스 아검 sm,,확인필요,
TIA-S870,S870,깔루아 버튼 원피스,깔루아원피스 민트 아이 sm,수입 132000,수입확인필요,
TIA-S871,S871,깔루아 버튼 원피스,깔루아원피스 민트 아이 sm,수입 132000,수입확인필요,
TIA-S872,S872,아우라 꼬임 원피스,아우라꼬임원피스 블랙 sm,수입 30000,수입확인필요,
TIA-S873,S873,그리니치 투피스,그리니치투피스 핑크스트라이프 sm,수입 178000,수입확인필요,
TIA-S874,S874,모네 니트 원피스,모녀타원피스 베이지 sm,수입 132000,수입확인필요,
TIA-S875,S875,스트랩 플리츠 원피스,스트랩원피스 라벤더핑크 sm,수입 42000,수입확인필요,마지막1장 남았습니다
TIA-S876,S876,세피아 쉬폰 투피스,세피아투피스 베이지 sm,수입 49000,수입확인필요,마지막 1장 재고 남았습니다
TIA-S877,S877,티어드 미니 원피스,티어드원피스 아이 sm,수입 167000,수입확인필요,
TIA-S891,S891,샌드듄 셔링 원피스,샌드듄원피스 샌드컬러 sm,수입 38000,수입확인필요,
TIA-S892,S892,스크류 미니 원피스,스크류원피스 노랑 핑크 sm,수입 129000,수입확인필요,
TIA-S893,S893,스크류 미니 원피스,스크류원피스 노랑 핑크 sm,수입 129000,수입확인필요,
TIA-S894,S894,스와니예 롱 원피스,스와니예원피스 화이트 sm,수입 48000,수입확인필요,
TIA-S895,S895,블랑 쉬폰 투피스,,,확인필요,
TIA-S896,S896,트리밍 버튼 원피스,트리밍원피스 아이 sm,수입 49000,수입확인필요,
TIA-S897,S897,돌리 카라 투피스,돌리투피스 소검회 sm,수입 49000,수입확인필요,소라컬러는 마지막 1장있습니다 그레이 검정은 계속진행됩니다
TIA-S898,S898,돌리 카라 투피스,돌리투피스 소검회 sm,수입 49000,수입확인필요,소라컬러는 마지막 1장있습니다 그레이 검정은 계속진행됩니다
TIA-S899,S899,돌리 카라 투피스,돌리투피스 소검회 sm,수입 49000,수입확인필요,소라컬러는 마지막 1장있습니다 그레이 검정은 계속진행됩니다
TIA-S900,S900,프리마 미니 원피스,프리마원피스,좌측싼버젼 백아이 sm 45000,확인필요,
TIA-S901,S901,프리마 미니 원피스,프리마원피스,우측기본 크림 sm 58000,확인필요,
TIA-S902,S902,프레야 카라 원피스,프레야원피스 베이지 sm,수입 40000,수입확인필요,
TIA-S903,S903,트리니티 미니 원피스,트리니티원피스 민트 프리사이즈,수입 미니 35000,수입확인필요,
TIA-S904,S904,트리니티 미디 원피스,트리니티원피스 모카 프리사이즈,수입 미디 40000,수입확인필요,
TIA-S905,S905,보우타이 투피스,보우타이투피스 화이트 차콜 sm,수입 178000,수입확인필요,
TIA-S906,S906,보우타이 투피스,보우타이투피스 화이트 차콜 sm,수입 178000,수입확인필요,
TIA-S921,S921,이자벨 레이스 투피스,"이자벨블라 아검핑 sm
컷팅레이스스커트 아검핑 sm","수입 30000
수입 31000",수입확인필요,
TIA-S922,S922,이자벨 레이스 투피스,"이자벨블라 아검핑 sm
컷팅레이스스커트 아검핑 sm","수입 30000
수입 31000",수입확인필요,
TIA-S923,S923,이자벨 레이스 투피스,"이자벨블라 아검핑 sm
컷팅레이스스커트 아검핑 sm","수입 30000
수입 31000",수입확인필요,
TIA-S924,S924,도슨트 블라우스 투피스,"도슨트블라 아 크림 검 sm 
아베끄스커트 아 베 검 sm","수입 26000
수입 35000",수입확인필요,
TIA-S925,S925,도슨트 블라우스 투피스,"도슨트블라 아 크림 검 sm 
아베끄스커트 아 베 검 sm","수입 26000
수입 35000",수입확인필요,
TIA-S926,S926,도슨트 블라우스 투피스,"도슨트블라 아 크림 검 sm 
아베끄스커트 아 베 검 sm","수입 26000
수입 35000",수입확인필요,
TIA-S927,S927,마가리타 트위드 투피스,마가리타투피스 핑셋트 sm,"수입 베스트쟈켓 92000
스팽클스커트 92000",수입확인필요,
TIA-S928,S928,터치벨트 팬츠 투피스,"터치벨트나시 아검 프리 
럭스팬츠 아검베 sm","국내제작 19000
수입 30000",국내제작,
